artists,name,id,popularity
Blaue Blume,Roxy,05EtBWKNRlwur5zfwxSM90,7
Maja Gry,SkÃ¸re Mennesker,5be8jfPAqnMQDXpYI82amf,0
Jimmy Somerville,Smalltown Boy Reprise (2014),6OKlIr183M6BW9YL2y7FU6,34
Blaue Blume,Lost Sons of Boys,1P5li369qeWaubZpo9qPJI,11
Crystal Waters,Gypsy Woman (She's Homeless) - Radio Edit,4UJ1AKSbXAbPlPVFe66wK7,63
Keaton Henson,Petrichor,1RWRfknqqgTNNPO1EoP7Wo,47
José González,"Stories We Build, Stories We Tell",5HH5M2WCvp5AD0SI2CdQOO,36
"John Dowland, Andreas Martin, Andreas Scholl","Flow, my tears",3Zxdi1d6sYDVmgOh1Ylblv,24
"Gaspar Fernandes, Dublin Drag Orchestra",Dame albricia mano Anton,2XeIXgpjeT3NQz7wxg3XKC,0
Blaue Blume,Birthday,1dvOizgckctrQXPedrFJQS,3
José James,Trouble,11pd7go1eobijf2rxN5YbG,46
The Cranberries,I Will Always,6UWj5nNhv4jjrRV6zB3ZtL,0
Zola Jesus,Ixode,05QMvbdy6FL9KS0fAUuEH4,0
I Monster,Daydream in Blue - BBC Radio 2 Session,159xHPF9XxKuMWEsB9Pg5W,52
José González,This Is How We Walk On The Moon,1knEmRdtWiAwvpCSuPSXzn,0
The Internet,Missing You,2wpIImsIxXpYonnrGr0CdW,40
José James,BLACKMAGIC,6k1JCurbwAJRzU1UrucpFQ,0
Blaue Blume,Jealousy,6IVYQrOC7AFqx4g3OzqDz1,0
"Disclosure, Sinéad Harnett",Boiling,3BEGSRPgeIOUKdMXzJL84R,44
"John Ward, Dublin Drag Orchestra",The First Set of 25 English Madrigals: No. 17. Hope of my heart,4bNWRZEw8389ztHdYtAw1e,0
Low,Fear,0h4FnxJdO3Pn2sk5TRawS7,39
Bobby Caldwell,What You Won't Do For Love,0clxMioV4cIuKl6g7IZhP9,39
Elder Island,The Big Unknown,2yMR0hZZk0oBw2XBvhQTSF,0
Blaue Blume,Sky,2MJgMCZJwySRrYOzOJmVRP,7
Guillem Roma,La TendÃ¨ncia Natural,4jDsJEgY9xCVDokK2jOPJv,7
Blue Hawaii,Try To Be,7yGNPFc5vMk6hQ9m8Ky4XU,1
The Cranberries,Put Me Down,6BX5RrVujeL8MlFD0K2zVx,0
Hiatus,Fortune's Fool,3ePAs7rkZu7TLCuLMbaLol,44
José González,Heartbeats,11X4Gw3T4hoktVruLgTnm1,67
Blaue Blume,Lemon Tree,1izHBrObZ6XzYGcetYDaaX,5
Jungle,The Heat,49sqQIS868rKIy5NBUmJV6,0
Gala,Freed from Desire,6TRsuLBeCnOSiUrwERysnw,0
Nu,MAN O TO - mixed,3lOZTrcnAQ7g4VSULw0kRg,0
Max Richter,November,4WKujnArWJAJFAQfMyBhc8,0
This Is The Kit,Earthquake,6QgOkkoIDcycUFmfUXaFil,44
Palace,Bitter,6xxy4SktborcH1wRjISek5,45
Blaue Blume,Helen,3xU163swW9yyW3RQCX8NiY,0
Mariee Sioux,Wizard Flurry Home,027b0syqgJeeHVEaZlu9u8,0
Jungle,Drops,6FvjAQqC2L0B3TTANybitI,0
DVA,HÃ¡rom KÃ©rom,74jh3jMPd2zP2jzh00ZGNi,19
My Brightest Diamond,Dragonfly,6uYqaAsUFI3yWEs7uFH4df,0
"Alicia Keys, John Mayer",Lesson Learned (feat. John Mayer),2c3jpiVWrH2l8O5HHRkJ5e,53
Miriam Makeba,West Wind,2rqrk1oycY4aGR9GcxU2OM,0
"The Internet, KAYTRANADA",Girl (feat. KAYTRANADA) - Radio Edit,2gvkz0Cxw7OtEh2d5G9uEC,45
Shuggie Otis,Aht Uh Mi Hed,3bGVC25HcISA1ApJwux1LF,44
Fleetwood Mac,The Chain,2X6gdRlGOQgfaXU9ALUQFQ,0
Mariee Sioux,Lovesong,4I8wrwEV0Rs11TJoOW0VRF,0
Mark Kozelek,Ceiling Gazing (Live),6h8MePoHxfki38vNs5oHtB,18
Tei Shi,Adder(F)All,3tcpDYxRmUe4O3ylYXl1xM,0
Fleetwood Mac,I Wonder Why,5Nhte45vlkrbl5HkFpoqM6,23
Jamie Isaac,She'll Always Close In,4AjorXq1RbMSRsOVvhBNPC,0
