artists,name,id,popularity
Funkadelic,Maggot Brain,3utrFnKNa1QSmUIm8QxHEC,37
The Police,Bring On The Night - Remastered 2003,3ICRVhH1mviNzbUg5kjuri,0
Westerman,Mother Song,4td1zVlZkYccd9ezPUzhoF,47
SASAMI,Turned Out I Was Everyone,6RDiDCAraT3tr31FtWi3C7,46
Evinha,Esperar pra Ver,2M6H4fqf5olMjqzwwBzkEf,49
Molchat Doma,Судно (Борис Рижий),6DONTnamNDOJdO6DzCu71p,26
Lebanon Hanover,Gallowdance,74SUn8w4lYSwgOGPvVZiEo,65
Joomanji,Spread Too Thin (feat. Lindsay Olsen),0Lgk4pD3Y0iE9w2xDilhjj,50
Boys Age,Binary Field,6n9nmx9e8Pydq6ijuEKktw,0
Her,Shuggie - Bonus Track,24V1nw6aGxnIVuWHEGH4e1,47
Maverick Sabre,Into Nirvana,1De7ddr6NfqajOQLu5uwKG,57
"Move D, Justin Carter",Leaves,4lGXye7yRWuhEb8jyaAYc2,41
Little Dragon,Where You Belong,0WPOxxoEVoglAvhqroDpQA,60
Eunice Collins,At the Hotel,4sjycYDj539aqcvb2jjDnj,41
"Pan Amsterdam, thatmanmonkz",Landlord Elijah,7tJ41ZicPObFxy1UJyt7FA,0
dreamcastmoe,Liquid Deep,7ok6O0BkwbiPPeJpjvewOB,29
Eefje de Visser,Ongeveer,197PHOBtgwBTSky9oye0u9,50
"Sassy 009, Clairo",Lara (feat. Clairo),4hOIaf53AbFr6BwcaT12S1,50
Sassy 009,Are you leaving,0VQLUf1y9Y01gYjJs4cleE,39
bagdad brothers,á næstunni,4lkjYgwT02UlbJOddmyxGT,6
Cate Le Bon,Home To You,38wakZ93YNvmqkllWLfcYJ,43
"Joji, Clams Casino",CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,72
Ought,These 3 Things,68G2Is16gx5pADNa4YKUno,0
King Gizzard & The Lizard Wizard,The Fourth Colour,4fO1ad3rl3QR1yFY43H8JD,0
Maalem Si Mohamed Chaouqi,Fangara Fangarié - Ouled Bambara,7toYPMNjEZ1JmR5TKEfhG9,18
Yavuz �etin,Köle,1f7TtPm9WBppybO4kOTDf6,40
Kesme_eker,Gerçekten Özleyince,45rJaE75GmomUFUmtcP5jc,24
Cold Showers,Only Human,1YtzaZGB86mYfONJtAA1BQ,1
Sylvester,I Need Somebody To Love Tonight,6dC66ztLWiYp34KBd68E2b,45
Kristofer Maddigan,Don't Deal with the Devil,6BGH20po77dhCFUFezieIG,44
Teddy Pendergrass,"The More I Get, the More I Want",6nkhaYvdho2vRH5JTrJX7f,39
The Cranberries,Pathetic Senses - 'Uncertain' EP Version,4wMJUdcBIAHIfhn9x8iY8b,14
Hamlet Gonashvili,Chona,5u5T9DbOQeaMZXX8oxCmoV,11
The Cranberries,Uncertain - 'Uncertain' EP Version,5j76mavskCcMAy0HKxLROO,16
Sudan Archives,Nont For Sale,0WhCLfN2DJHVW80e5TcTOe,0
"Bonobo, Bajka",Days To Come,1mRTSIs40qa2L7omBzQd1u,50
Princess Nokia,ABCs of New York,3zUNq95ZQ66ksuszn0PJYI,0
D'Angelo,Untitled (How Does It Feel),4oPNN7syJYSjzDhRerF966,63
Blind Faith,Can't Find My Way Home,107K6xieSp2ihzoA2vTv2q,55
The Bats,North by North,401EB7VNKSUZeFwQxM6vYM,35
Kim Wilde,You Keep Me Hangin On,1wEeNtO7z41aUqC80shxqK,66
Jeff Buckley,Eternal Life - Road Version,10LY9HlNZektGkpjc6T1N4,27
Vaudou Game,Pas Contente,2SDlbbcLUpqKBtSFTsmymy,10
Collective Soul,Heavy,2H460ZUwS63N9vLGEFmjZJ,0
Axwell,Nobody Else,7g2WfNLkwj6QeYmXleHUvi,55
Tears For Fears,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,84
"Kazy Lambist, LC Elo",Headson,1i8S8b09hPcQEpi3U5cuwy,1
Father John Misty,True Affection,4qG7NaN5VGPE2HPFKFHKCs,0
"The Apples In Stereo, Robert Schneider",Innerspace,2XTjamhOEI6Q11PSvnVtNQ,48
"Aim, Stephen Jones",Good Disease,5pA39NQIP1nZgvFxV5Fi7S,52
M. Ward,Little Baby,6jTQ5lrGoDAAW2tYrtznEJ,0
Canal�n de Timbiqu�,La Cancion del Camino,4osV6oFXGCJpv4KdtR6de2,4
F. J. McMahon,Sister Brother,27D3wWLlSFDWrzbr9LBnER,0
Roberto Musci,"Claudia, Wilhelm R And Me",4jR8SmpJ76qsD1TlaD6TIY,46
Temani,Power,6QccBAqcybdAtdsu9wqUPm,44
Cocteau Twins,Pandora (For Cindy),2h9IbUdeKAR7KOMXxfgQOq,0
