artists,name,id,popularity
"Jennifer Lopez, Jadakiss, Styles P",Jenny from the Block - Track Masters Remix,0vYMzeTmfbnrAhGPRcJqVP,4
Mariah Carey,Emotions,0cELvuwJW1acISUHYB6suj,61
Gorillaz,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,79
Gorillaz,Clint Eastwood,1RKUoGiLEbcXN4GY4spQDx,73
Gym Class Heroes,Cupid's Chokehold / Breakfast in America,2Lhdl74nwwVGOE2Gv35QuK,63
OutKast,Hey Ya!,1XZa6MDzWqCTeNATvtxzZY,51
Gwen Stefani,Hollaback Girl,0eqH0ALoDQevq59YcQ53KE,68
"Gwen Stefani, Eve",Rich Girl,2oxtQ84p1j5GmyzmD50Lq0,64
Gwen Stefani,What You Waiting For?,0oEFdKyCW7zMSIHazc8Yit,2
"Gwen Stefani, Akon",The Sweet Escape,26eOTllWPn7oKuDUJnsJwF,10
No Doubt,Don't Speak,5PsUB0ISfQxRLhF5DmI5Ks,15
No Doubt,Spiderwebs,020gYw7juUaNs2tLYMlfms,1
No Doubt,Hella Good,64NrL8pIXLdpFyHQ92DX5l,36
No Doubt,It's My Life,19EQUqnUXEeiBrY10JhPEF,46
Mario,Here I Go Again,6nBPfZJDDyiY7D4HfE3d2v,17
Black Eyed Peas,Where Is The Love?,0uqPG793dkDDN7sCUJJIVC,19
Black Eyed Peas,My Humps,2WNVqZq1ujhMDlOAqBFkVv,7
Black Eyed Peas,Meet Me Halfway,2T4u39au5RJzsulMUpRuVr,5
"Sérgio Mendes, Black Eyed Peas",Mas Que Nada - Radio Edit,0vFs2Eorve6vnnQcmItot1,55
Black Eyed Peas,Hey Mama,41UdZo4E9IUgBai73dD8Cf,1
Black Eyed Peas,Let's Get It Started,28jHD8xBLnN8esbroQ6zz8,53
Kelis,Milkshake,2cMTIlktg3M9mXYqCPqw1J,65
Kelis,Trick Me,3aImJnJlAgcE7bJ1NxthGt,60
"Kelis, Too $hort",Bossy,49FETRJKyMd2xENK6Pea7Q,32
Jamelia,Superstar,39GVxN9q7OqFSCO8LtcaDf,10
Anastacia,I'm Outta Love,6OPKVuPlc5Wmd02iAwXRoD,4
Anastacia,Yo Trippin',3jCHijGzAAjH6iWomKBWkW,0
Anastacia,Left Outside Alone,3xl7PsO7Hzuig6To9FgDm6,57
Anastacia,Sick and Tired,6WMQVizkSPAufOGOk2x4dL,51
Anastacia,Heavy On My Heart,6jH4bmYIRZpur97sZZAV4m,37
Anastacia,Welcome to My Truth,1ZWqVsYIvgSrnfxqV20NxX,34
Justin Timberlake,Rock Your Body,1AWQoqb9bSvzTjaLralEkT,70
Justin Timberlake,Like I Love You,6W2Ef5Ph6ILTUAedoQ3QIv,61
Justin Timberlake,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,73
"Justin Timberlake, Timbaland",SexyBack,40VAYnnGBDLQVXD8D1ager,7
"Justin Timberlake, T.I.",My Love,13X42np3KJr0o2LkK1MG76,12
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),76D83dghHeE2NFedPFD4tf,11
Destiny's Child,Lose My Breath,2n4uOdMHzEvcZ0KP7iQnay,57
"Destiny's Child, T.I., Lil Wayne",Soldier (feat. T.I. & Lil' Wayne),0DlVOdK5GJtnom4nI3EOz5,54
Destiny's Child,Girl,4XyAMTjMfqwZ2uJemqKRdH,53
Destiny's Child,Free,0rCd5rkmWfzfoonyjlIDsz,33
Destiny's Child,Independent Women Part I,6e9sI2locopZ5p5ij1VAUF,37
Destiny's Child,Survivor,7qtAgn9mwxygsPOsUDVRRt,64
Destiny's Child,Bootylicious,09mkdGhqb5ySKVsnkx9hy2,50
Destiny's Child,Say My Name,2gSyc23Hua25fqSFpgAh6W,65
Destiny's Child,Bug a Boo (H-Town Screwed Mix),39paVqfboWjR4W2B3QJsiD,37
"Ciara, Missy Elliott","One, Two Step (feat. Missy Elliott)",7uKcScNXuO3MWw6LowBjW1,73
Natasha Bedingfield,Unwritten,1D1nixOVWOxvNfWi0UD7VX,75
Natasha Bedingfield,Pocketful of Sunshine,4hjuUelurEBKlqpJPJ77Iw,61
The Rasmus,In The Shadows - Radio Edit,5SEPHn2kcrgsi1ilpPS9s3,6
Britney Spears,My Prerogative,2JxftzENN2rhpXxnOmtQBR,54
Britney Spears,Toxic,26nr9XnFCYWxBTIP7HyWXg,52
Britney Spears,I'm a Slave 4 U,4kZb1EYeRL8vxhTL0Z9Y7y,47
Britney Spears,Oops!...I Did It Again,4jUuqKRr1fB4c1RvU6syls,54
Britney Spears,Do Somethin',77rzoJ5VaC2BLB1IkjGnoi,49
Red Hot Chili Peppers,Californication,48UPSzbZjgc449aqz8bxox,80
Red Hot Chili Peppers,Can't Stop,3ZOEytgrvLwQaqXreDs2Jx,79
Red Hot Chili Peppers,Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,78
Red Hot Chili Peppers,Dani California,10Nmj3JCNoMeBQ87uw5j8k,75
4 Non Blondes,What's Up?,7f0jXNMu2xjQUtmKMuWhGA,22
Edie Brickell & New Bohemians,What I Am,6X1mtEmDPmg4Qp0s8QwACQ,3
The Chemical Brothers,Galvanize,4bz7uB4edifWKJXSDxwHcs,62
Matisyahu,One Day,0nCZDQrlWA149QdGTdlsFU,57
En Vogue,My Lovin' (You're Never Gonna Get It),0YneC4nNQEsKCqAGCv1tJK,42
"The Roots, Tariq Trotter, Erykah Badu, Eve",You Got Me,4pdLZsxq0y5oJDb6Cxlokw,64
The Chemical Brothers,Galvanize,4bz7uB4edifWKJXSDxwHcs,62
Sophie B. Hawkins,Damn I Wish I Was Your Lover,0RmEn2jcbyrLV4em3bnDZJ,50
Ricky Martin,Livin' la Vida Loca,0Ph6L4l8dYUuXFmb71Ajnd,71
Destiny's Child,Cater 2 U,6uYAPqxP69zfpCbsTHXgiz,61
Destiny's Child,Lose My Breath,4dvQg9sD8k9y4qiEURuj8v,58
Destiny's Child,Free,0e4K4O83kizeU1mwneF7Pr,37
Natalie Imbruglia,Torn,3ywzBUkk3b616VzM4I5PzL,52
Adina Howard,Freak Like Me,6Vas6h9lB5mmeVDXdFqlQA,58
