artists,name,id,popularity
Rokia Traoré,MÃ©lancolie,3JLp5qQ0CvAY7Os1okC7Ro,22
Rokia Traoré,Sarama,7jDvPH18QP0Y35l20cjYgy,37
Rokia Traoré,Koronoko,3IVL8vzs2BfQQcakU7gRj8,9
Rokia Traoré,Tounka,6XkuDCYT6a4S68DnGv1WD1,10
Rokia Traoré,MouneÃ¯ssa,01Xh69x5oCaVjoIB6odY6j,37
Rokia Traoré,Laidu,05CF4ATpqROLTQVYABNZ3W,54
Ballaké Sissoko,Tomora,3zzje9HzXTmmKlWHdTscPt,15
"Ballaké Sissoko, Alboulkadri Barry, Demba Camara, Fanga Diawara, Aboubacrine Vattara",Handarezo,70XKvh7C8dXk9PFjgKE3K3,6
Bassekou Kouyate,Jama ko,4M6FuBh0zCSLFgoJ2SAWuw,29
"Bassekou Kouyate, Ngoni ba",Bassekou,2UDFkcyY8nmk45kNj6ZSBr,27
Songhoy Blues,Soubour,6myCSm2QEXMrgtUxVN313f,34
"Ali Farka Touré, Ry Cooder",Bonde (with Ry Cooder),4Shha7cAsaUeo92mCnNF1W,0
"Bassekou Kouyate, Ngoni ba",Ngoni Fola,5nfhXvKhfeiV8YJ7bT0Xwo,6
"Bassekou Kouyate, Ngoni ba",Yeko - Takamba,5hdWlMkkhVPJumtJFmeA6y,3
"Bassekou Kouyate, Ngoni ba",I Speak Fula,6aZT69w1QHAo0EbKWexjWs,18
"Bassekou Kouyate, Ngoni ba, Kassé-Mady Diabaté, Toumani Diabaté","Jamana Be Diya - feat. Kasse Mady Diabate, Toumani Diabate",5KCEXnd9H5FcKA81xMnyAP,12
"Bassekou Kouyate, Ngoni ba, Harouna Samake",Torin Torin - feat. Harouna Samake,4Y4Bz1v1CUqhUWRvWYPfOH,8
"Bassekou Kouyate, Ngoni ba",Jonkoloni,4qhCr0hoYkQLhhkfur6Jbp,27
"Bassekou Kouyate, Ngoni ba, Kassé-Mady Diabaté",Juru nani - feat. Kasse Mady Diabate,5CFdHtJAlGttkKbAJjJEV7,17
"Bassekou Kouyate, Ngoni ba",The River Tune,0mkC0No5KP4Ff7HXL7tVhx,18
"Bassekou Kouyate, Ngoni ba",Andra's Song,6S6eIA8Y3chwzSIDWRNfia,10
"Bassekou Kouyate, Ngoni ba",Ngoni fola,0NVWFbKlCTf2Y3twLuIYNX,17
"Bassekou Kouyate, Ngoni ba",Segu Blue,6Yw55m9vfpdulc1GZdpQ2U,15
Fatoumata Diawara,Kanou,17Q6m4RnI36gJbZrgiAfJU,0
Baba Salah,Mali Moussow,3Im8OK20vYADDwNH8AE72c,6
Kandia Kouyate,DoninkÃ©,3ZMcpldbGkScLT0W97skXo,0
Mamou Sidibé,SoninkÃª,55YdtD6BbmJ7NsDW4Z1Dpo,9
Mamou Sidibé,Soudou baba,2hFvXnTOfpOcGwoNAHPtph,3
Nahawa Doumbia,Fanadugule,1q4uTZoSIqEQLeEpfcDxEs,9
"Ali Farka Touré, Toumani Diabaté",WarbÃ©,0HosKWHTwDKVph6qJjT50G,0
Samba Touré,Koye Ma,3HS3838xNxQSqfLtD7s2w5,1
Samba Touré,Anbafo,7GErNFVgLnbhfBa60grkir,3
Samba Touré,Djandjo,6MpG2MwUZ9uaBiXQs2dtGN,2
"Andra Kouyaté and Sèkè Chi, Salimata Kouyaté",I yele - SÃ¨kÃ¨ chi intro,4lBsdPRHDhtignYbFc4hK3,1
Miriam Makeba,Pata Pata,4S4dCACmtuPWbhvMSfDXqN,0
Miriam Makeba,Click Song Number 1,3Wbp6ojYV5AJCqvEG9xzm3,0
Miriam Makeba,Malaika,2aF2rvFMz0XQrh9ZznZ9fq,33
