artists,name,id,popularity
"Santiago De Murcia, Paul O'Dette, Andrew Lawrence-King, Steve PLAYER, Pat O'Brien, Pedro Estevan",Fandango,0xIHhtzPBVc5YU9pbX6xQ3,8
"John Dowland, The Royal Wind Music, Paul Leenhouts",The Earle of Essex Galiard,3NwznasR14jKwxzxTVTzjX,7
"Anonymous, Giovanni Giacomo Gastoldi, Michael Praetorius, The Royal Wind Music, Paul Leenhouts",En m'en revenant de sainct nicolas / Questa dolce sirena / La bourr√©e (Secci√≥n Central) / Bour√®e d'avignonez,1IegfwEQuS6ndW4WRRhjEW,6
"Michael Praetorius, Westra Aros Pipers, Bourrasque Ensemble, Bertil F‰rnlof",Terpsichore*: a. Bransle Gay 1 b. Bransle de Montirande,2gDPe8PE5re1hcxHGxMz7A,30
"Anonymous, XVIII-21 Le Baroque Nomade, Jean Christophe Frisch, Cyrille Gerstenhaber, Adriana Epstein, SÈbastien Obrecht, Ion Dimieru",Codex Caioni: Salve Regina n¬∞64,1zHD0oV5RbweL5WUby9NBm,0
Doulce MÈmoire,"Noi siamo galeotti in Canzone, Sonetti e Frottole",3j0a0EINuwXQrBk1svX0Qd,0
"Anonymous, The Dufay Collective",Propi√±√°n de melyor,2LxFFKP196xsLfcqstyX7n,3
"Josquin des Prez, Capilla Flamenca",El grillo,31XW18CqNm4YushzsiIxuq,0
"Gaspar Fernandes, Ensemble Caprice, Matthias Maute",Tleycantimo choquiliya,5oa0hxecdiak7mxZ0BPCHQ,3
"Diego Ortiz, Piffaro","Trattado de glosas: Recercada No. 4, ""La gamba""",6ww3w78rtzplQKVXlBKwFN,12
"Giovanni Gabrieli, His Majestys Sagbutts & Cornetts, Stephen Cleobury","Canzona Seconda (a 6), C196",1znHmFNMFre1B1gJgMoVuM,0
"Antonio de Salazar, Ensemble Caprice, Matthias Maute",Tarar√°,0BpHAC6dhzLFFwOIlUU8FV,2
"Juan de Araujo, Ensemble Caprice, Matthias Maute",Los coflades de la estleya,4WLnDrZUBSPZrk0TuRklF1,2
"Domenico Zipoli, Ensemble Caprice, Matthias Maute",Battalia imperiale / III. Battalia furiosa,6GVABXqV3hICytuUYRIMhe,1
Kalenda Maya,"Riu, Riu, Chiu",6G2OQKEv3UeLVPup7GXg1y,0
Kalenda Maya,Rodrigo Martines,3XR01XGjYy6NWsqx4RWIWV,0
"The Anonymous, Capella de Ministrers, Carles Magraner",El cervel mi fa,711mQOxOLYTZ44eiTkTYWZ,1
"Juan Garcia de Zespedes, Ensemble Caprice, Matthias Maute",Convidando est√° la noche,2IweM4XBSjffqZAPzkLJCy,3
"Capella de Ministrers, Carles Magraner",Calata a la spagnola,6E1Uo31rqd3TFDdFLaNNz3,8
"Capella de Ministrers, Carles Magraner",La gelosia,44uH5Ts6MsDgYiRRjZlpjs,8
"Diego Ortiz, The Toronto Consort",Recercada segunda,6qHieGoQbYaPAWlJuoM3JH,0
"Juan de Araujo, The Toronto Consort","Ay andar, andar",6ct5zxHnizWUfw8ii9xHl1,0
"Santiago De Murcia, Andrew Lawrence-King, Paul O'Dette, Pedro Estevan, Pat O'Brien, Steve PLAYER",J√°caras por la E,1c2Ywl0t4vMQ26sou9EZss,15
"Roque Jacinto de Chavarria, Philippe Gagne, Joel Gonz·lez Estrada, L'Harmonie des Saisons, Eric Milnes","Fuera, Fuera H√°ganles Lugar!",4eJEtydRiJICCreGCbM5M2,1
"Juan de Araujo, L'Harmonie des Saisons, Eric Milnes","Ay Andar, Andar a Tocar, a Cantar, a Baylar",6ukQm0uUpcjkcgPGj0hMiw,0
"JosÈ de OrejÛn y Aparicio, HÈlËne Brunet, Elaine Lachica, L'Harmonie des Saisons, Eric Milnes","A del D√≠a, Our Lady of Copacabana: A del D√≠a a de la Fiesta",7twRcdt3wavGIGuR2k074c,0
"Anonymous, Joel Gonz·lez Estrada, L'Harmonie des Saisons, Eric Milnes",Pasacualillo (Peru 1753),6wNTutmMF2SwV8NoueqUul,0
"Heinrich Isaac, Jordi Savall","Fanfare des M√©dicis: Palle, palle (Instrumental)",43NliOqyJizaZk2w6y5fWv,11
"Gaucelm Faidit, Millenarium",Jamais nuill tems,6dRB9hH9PRjvRMafEMaRRP,0
"Juan Hidalgo, Turkish Ensemble, Romina Basso, Alberto Mesirca, Fahrettin Yarkin",S√≥lo es querer,5304PUua0egbyVxhl582oj,0
"Thomas Morley, The Musicians of Swanne Alley",A lieta vita (Sing and we chant it),2G0R3AA46lXTJu2gPLOKkl,12
Jordi Savall,Tambalagumb√° (Negrilla √† 6 v. et bc.),2O24CqHwpAHyNsb1Ub7BzX,14
Ars Longa De La Habana,Tambalagumba,6K9ZwfB6WtxbDz204B8cpc,2
