artists,name,id,popularity
Blue Hawaii,Try To Be,7yGNPFc5vMk6hQ9m8Ky4XU,1
Sylvan Esso,Hey Mami,5uWHu2Oz5nIWoO38JeRtSJ,0
Sylvan Esso,Could I Be,19Iq1AsbqFSAV96ucwF3VH,0
Sylvan Esso,WOLF,27gUQjmARLbvo09l2eZMNw,0
Sylvan Esso,Dress,4SQfzfWy9zrddTtvhZ6cIa,0
Sylvan Esso,H.S.K.T.,6PHdNNY92Zo9Xc1xgpEw95,0
Sylvan Esso,Coffee,3eTJY0wWnciXioMhC8P6gz,0
Sylvan Esso,Uncatena,0wPHWbkPB1S2NWfus7t0DJ,0
Sylvan Esso,Play It Right,44miP4NbgqRvwA292nnk9i,0
James Blake,Retrograde,4HujwzHGxXQ9BkrqW3lIfJ,0
Dream Koala,Odyssey,1D5rhIKHyCvqomf1759A8Z,0
¡sgeir,King and Cross,4xH0iKhPiJW5tSw2gnv5Ua,0
Electric Youth,Get Along - Bonus Track,5DFM0mtYfLnnvL3Rv9BTNA,0
Electric Youth,The Best Thing,5JtSrLWKRrHG2ojy1HMAvY,1
Electric Youth,Tomorrow,4A9ikinCbpT2wwB9LTgv2u,0
Die Antwoord,Ugly Boy,0zSGK8ZpVuo0XdIY21Vyrh,27
Die Antwoord,Happy Go Sucky Fucky,3ckwU0TBQ0NUJ1elmDLMtZ,16
"Kygo, Parson James",Stole the Show,4iZPNYqzI2L0uwuUKun7Aa,16
¡sgeir,Going Home,1iJNSLBbEjAULPFk83ufOv,0
¡sgeir,Higher,5ehcYlJhXwGGZqbXk8XjYs,0
¡sgeir,Torrent,67bGtMJ8KSyP81tSvLgVYX,0
¡sgeir,Head in the Snow,4tbKsMhtSBtkHBfPxypl6a,0
¡sgeir,In Harmony,281omNnBucwCx6R0IisNm4,0
¡sgeir,A√∞ Grafa Sig IÃÅ FoÃànn,74SX0QCiUSlAUXEPmMZ097,0
Die Antwoord,I Fink U Freeky,5DBQWDGt7WVlyMgMgvGko9,0
Die Antwoord,Cookie Thumper!,7pX7v3nQCz2bzPI02cbLmB,25
Die Antwoord,Pitbull Terrier,7wxqtAEYlz4gwVowjgOTrC,24
Die Antwoord,Hey Sexy,7wkOYHB3PBiJwm1hPkD1jc,0
Die Antwoord,Rich B***h,54MFbDWpE6oDT46AKehNxM,0
alt-J,Hunger Of The Pine,3Z0YN50RzRtmYre1bRG8H6,0
alt-J,Every Other Freckle,0HV1cGoX5ASBlPA1pqH8fG,0
alt-J,Matilda,1gpEvytk4pUtLt8VisYqzx,0
alt-J,Taro,4e8KvQ6kLYr4ZnmZyNLwJO,0
HNNY,Memory Tape One,1rCPZsGQ84HY1XLb6eHxJP,0
"Air, Beth Hirsch",All I Need (feat. Beth Hirsch),6T10XPeC9X5xEaD6tMcK6M,63
Dream Koala,Odyssey,1D5rhIKHyCvqomf1759A8Z,0
Ruelle,Fear on Fire,2e1UXkaNHbVPESl36y3SWM,40
Ruelle,Big Guns,619p9rRRFsYAlOI8sXbb0e,35
Coldplay,Midnight,4GKk1uNzpxIptBuaY97Dkj,64
"LV, Message To Bears",Explode - DjRum Remix,3AQEnDEGNAMhhrESRAlSsJ,15
Orbital,Halcyon and On and On,6l0LbTF2V77M3LPpcOBmqX,0
Orbital,"Halcyon - 7"" Version",5uSsCoJ9DUbF7aHWDd2fuy,0
"Bonobo, Andreya Triana",Stay The Same,6vcd0sKmiioXQKbcZPr7gq,50
"Bonobo, Grey Reverend",First Fires,2Yz2Z1ENB85nYrK3Rg2qxO,49
"Bonobo, Erykah Badu",Heaven For The Sinner,6t7SsmMEWNNJaFEpIjrYop,40
"Bonobo, Szjerdene",Transits,0ewtFuJlY7pxdg4lzCXeQV,38
Bent,Swollen,59irMF6BIyxXmjuPgVSCsj,46
Great Good Fine Ok,You're the One for Me,6feLBW4q2iKBAgm5HgkCZV,33
Miike Snow,Black Tin Box,5mY29rdGBcVCj6gTvzaIVq,18
St. South,Get Good (Infinitefreefall Remix),5f51eKOzliTl6wBgBPHzor,0
Szjerdene,Abode,1VKppIXkPiXmyd4oPgsJhS,4
Lykke Li,"Hold On, We're Going Home - Live [Live]",7dnUCIIZgKKIgsKGAB6kxJ,35
Hiatus,We Can Be Ghosts Now,4buZVQ9wDGXk8AbVeGM5E6,44
The Chemical Brothers,Do It Again - Edit,7HcaeoWdfMEo86r8Cm7Gz4,41
Jungle,Drops,6FvjAQqC2L0B3TTANybitI,0
Jungle,The Heat,49sqQIS868rKIy5NBUmJV6,0
Bob Moses,I Ain't Gonna Be The First To Cry,29ub2nyhx5PQEA3nJajOiy,0
Still Corners,The Trip,2BCFf69uK4HL8eOubSSrHm,0
Pale,Too Much,4zKyp3uvR53CfUEKikJsmq,38
Oh Wonder,Technicolour Beat,1p0ziArbexSnA0FK2bhEsu,0
Jack Garratt,Worry,5MMHFFOpRRvdcXBrrSsnth,0
Jungle,Busy Earnin',3g86N0SqyfxEVNMHlmW3RE,0
Jungle,Time,3kwRiuw2oJoArGs3EusCgn,0
Jungle,Julia,43A8FeaAetF2Imc28DX29I,0
Aquilo,Human,3mHRbjw46JR4wvEkNvAJRw,28
"Maribou State, Holly Walker",Midas,6VNooTY5w9A9wg1YUsEbKB,67
St. Vincent,Prince Johnny,7hLWQTGBtKo4pBpJ9CaQo9,34
Grimes,Skin,6LNmopAcFlYh6Y1osLjoLh,0
Maribou State,Home,07fB2SZNaI4otc0eqMhJWN,49
"Maribou State, Holly Walker",Steal,0pAiyIHt9DyHOjWgF41kp6,65
Maribou State,Raincoats,0cry75hK8X1CnzKBFMxrNg,41
Maribou State,Varkala,0KFjTOGE68i5iz0IMVKJR4,47
Maribou State,Soul Structure,7HoDiurqQCeMtXA91yX6at,28
Glass Animals,Hazey,0Zg4tjgfqw9qzq7lXX2sUM,58
LCD Soundsystem,Someone Great,2VGDntFPvgvqSiUf9ITEfW,62
Arto Lindsay,Illuminated,1TgC09KHHZDfXCe1i2sAZz,0
Zola Jesus,Ixode,05QMvbdy6FL9KS0fAUuEH4,0
The Field,Everybody¬¥s Got To Learn Sometime,2tQxrhLg9pN6NJZQqSkR2k,0
Elder Island,The Big Unknown,2yMR0hZZk0oBw2XBvhQTSF,0
Wax Tailor,Seize the Day - Phonovisions Symphonic Version,7FEjBDjvdXkehlo2FrGIge,0
Tei Shi,Adder(F)All,3tcpDYxRmUe4O3ylYXl1xM,0
Tei Shi,M&Ms,1fz0dScsWdLMsbRKNQgIqB,0
Tei Shi,Nature vs Nurture,67BluF5JiscEN2Prs7mjUP,0
Jack Garratt,The Love You're Given,3b51fabMtwwqPN60d8karQ,0
SALES,Getting It On,2HFLh8qlNfW4EPpHVHz7Ej,57
Nu,MAN O TO - mixed,3lOZTrcnAQ7g4VSULw0kRg,0
Vˆk,Before,3WmIl0voWg6IDHNuQkrPCR,0
Lamb,Gorecki,2TfCi0Tal9i9q4Npub3is9,0
LÂpsley,Brownlow,1KeHN4mY3rIAbQJa8zLOCY,0
Samaris,G√≥√∞a tungl,0EpsfQ0JqDJZY5uyklXMKL,0
White Hinterland,Icarus,1mZVwoG4wInkUYlwWW1sAN,0
Kalabrese,Purple Rose,3yudWRIaJNzfBjnrXk1mKM,0
All We Are,Feel Safe,2hEtuhdLP2dexneKKCDFou,0
Hiatus Kaiyote,Laputa,4fcvLmCmut3Qqxz7k31iVx,41
"Hiatus Kaiyote, Taylor McFerrin",Laputa (Taylor McFerrin Remix feat. Anderson .Paak),5UFtKaL5KBumqv4tpgdm0p,50
"DJ Cam, Chris James",Swim,5gaSe6qpwxL4TOgXwzRDFo,54
ODESZA,Bloom,0vtX8UMG38p7IXpP4lZJ2z,58
Hooverphonic,2 Wicky,4NyKEVldCvokxpmeFBNNXI,52
"Davidge, Claire Tchaikowski",That Fever (feat. Claire Tchaikowski),1MsDnxYcsHaKto5v7JXsZS,16
Chet Faker,Talk Is Cheap,0240T0gP9w6xEgIciBrfVF,0
Chet Faker,Melt,7F9NJCMko9LLUrHxBS2Spb,0
Chet Faker,Gold,1g7zNtcGrWt8gcBRwDQEkf,0
Lusine,Two Dots,7x7js2zOVMzMbw7HVwpUmq,2
Sarah Jaffe,Lover Girl,0rPKzetB39NEPXxz4xUtex,16
Olmos,Hold Me,3UGJmhEzHHihRBKgwWArZQ,0
ODESZA,Kusanagi,3i2Q3cFdFzJ39nV9sAt3Pc,54
"The Internet, KAYTRANADA",Girl (feat. KAYTRANADA) - Radio Edit,2gvkz0Cxw7OtEh2d5G9uEC,45
The Internet,Missing You,2wpIImsIxXpYonnrGr0CdW,40
Phantogram,When I'm Small,3498wF96LsgVgMkGmJzJOC,0
Grimes,Genesis,48p1tayyXF3eh8E3Y4pXmK,0
