artists,name,id,popularity
Sandra Bernardo,Fruta,1qO2jAorU4mQ1s7fSWCbOF,16
Vinila von Bismark,"Pena, Penita, Pena!",25Yax2viy414Exk3RhfKly,0
Romeo Santos,Hilito,6CKlQHQIxhWtq7MnEJ6QCz,67
Paco Ortega,Calaito,38Ot4NzhILYWB2CU2kDzvh,30
Helado Negro,2¬∫ Dia,4GHFaKH7geEJipVTpzhvyG,37
McEnroe,Un Rayo de Luz,3DUPRk5dw9FuFxcGLeBXB5,0
Gertrudis,No s√© si,2MmC1K6DUcnKhpO9vk03XF,36
Nacho Umbert & la compaÒÌa,Colorete y quitasue√±o,5AqIAnIshQym9PIgX9lRSi,23
"Martirio, Paco de Amparo, Ra˙l RodrÌguez",Quisiera Amarte Menos,4WOwNmz1SBpaddjU4DWS70,24
Maita Vende Ca,Que Cosa - Che Chosse,60qUp4S1p6yUwxr3oNJTC8,31
Sr. Chinarro,Del Mont√≥n,6YN9SHHHb1r1cdCtytgbSy,0
La Mode,El Eterno Femenino,0DJKFBduSOXijBU5Wx2d2o,33
Eliades Ochoa,Estoy como nunca,3aTSo5FtNDv6PQJFV9Jmxa,37
Estrella Morente,Volver,1QuGzKm1WIQakUhHBeNL3j,38
Mina,Parole parole - 2001 Remastered Version,7LZDbABGg2NfnGsyIs2SeB,51
Milton Nascimento,Tudo O Que Voc√™ Podia Ser,4iNgXqTD2uux9GH4lTnNaN,1
Ibrahim Ferrer,Boqui√±e√±e,4ns5bUnRvN7xrdfSAhWJeA,0
Ibrahim Ferrer,Guaguanc√≥ Callejero,6sC4FoZ165ZhvfP7MRQHAW,0
Ibrahim Ferrer,La Chica del Granizado,0AnvLLQyUVEDFqHAz13Ea0,0
Manu Chao,Desaparecido,50wmJUs9lJGDNRqJMUGH5F,2
Sidestepper,Mas Papaya,4U5S0fp1d0fzHbO2hMasTY,35
Sidestepper,On The Line,0qIpsTT7Oql1PomEZnUru5,11
Gipsy Kings,Bamboleo,00iFo2OC2LyRliYG2cKBdW,1
Gipsy Kings,Volare (Nel Blu di Pinto di Blu),7I5TZatYj6zoKjjfnLeIwh,7
Gipsy Kings,Baila Me,25lELraEL5NiHXqmotpJDR,3
Pescado Rabioso,Cementerio Club,0O9BqfU1Cdm7YqmD0TrT9i,54
"Santana, Man·",Corazon Espinado (feat. Mana),2WoqgtWEBbbBKMDN6Becs7,60
Gustavo Cerati,Beautiful,1R3mCl9ya7FanRNWTeiQUE,53
LÙ Borges,Um Girassol Da Cor Do Seu Cabelo,1P5LNF98A4MgUvqTEXemEu,48
"Quantic, Nidia Gongora, Nicola Cruz",Amor en Francia - Nicola Cruz Remix,69WOsBl09oq4650UBkLelc,15
Compay Segundo,L√°grimas negras,4s0z3LdZ8GcurH6GkYI02a,14
Compay Segundo,Versos para ti,5M6YAei4y99R3f05ceCRLl,11
Ibrahim Ferrer,El Platanal de Bartolo,2WJSGGNjRzNEtWzGOmvQZz,11
Ibrahim Ferrer,En Qu√© Parte de Cuba Naci√≥ el Son,3rME38erjFGEIXgBTXPxJd,11
Guillem Roma,El rei va per dins,7EdA1i3wdDbe2M3CkM4aAi,8
Pink Martini,Donde Estas Yolanda,5OSSyqLhzpsf8dM8FXhLWr,0
Vinicio Capossela,Che Coss√© l'Amor,6fyCePWKYakcaZr3homooj,2
"Mambo CompaÒeros, TrondheimSolistene",Cuban Pete,1eMl0VwQ0s5KgThbD9YdmL,0
Barbatuques,Bai√£o Destemperado,1EoV0vQjHaMQ8WehQGXS8O,43
Femina,Eu Tein,2BMooPnGWTUMSKuT4EI4xT,44
Lucibela,Mal Amadu,2AR7Pb7QdxiBpB9mf3qCKE,23
Lucibela,Chica di Nha Maninha,5VID7Jtp8QfhePRkQN6zJv,18
