artists,name,id,popularity
Genealogy,Face The Shadow - Eurovision 2015 / Armenia,719i2VpCO6JVcc8N1t1OtF,0
The Makemakes,I Am Yours,2EwKl7Jv7ZQYI2ntHbzXUt,23
Elnur Huseynov,Hour Of The Wolf - Eurovision 2015 - Azerbaijan,3XhbPuJJG3MlAP2exjHoVy,29
"Uzari, Maimuna",Time - Eurovision Song Contest 2015,6blg0qHCVx36QDBGmWpy7M,0
Loïc Nottet,Rhythm Inside,3O2MsMZHCgSbRGEca5ML1N,51
Nina Sublatti,Warrior - Eurovision 2015 - Georgia,7yU7FlMnnLHEnOVxMmQLCQ,35
Ann Sophie,Black Smoke,7Jw44GPatR76FwBwVIqdcg,36
"Molly Sterling, Greg French",Playing With Numbers,4KZ3NeO2f2wFHpgKNoTomR,0
"Monika Linkyte, Vaidas Baumila",This Time - Eurovision 2015 - Lithuania,2J6acmdFTJM24N3gdkXg6k,0
"Stoyan Yankoulov, Elitsa Todorova",Ð’Ð¾Ð´Ð° - Kliment Remix,6MAsDFTzvqiRJaVRVUEAbG,14
Alexander Rybak,Fairytale,37lYrZzmbRiEySPGkiGjXA,0
Buranovskie Babushki,Party For Everybody - Eurovision 2012 - Russia,6yZJQZ9rcLfwwRGfSLEyuk,0
Loreen,Euphoria - Eurovision 2012 - Sweden,3TWK8lq7oFPaKD1YkR1zdO,0
Conchita Wurst,Rise Like A Phoenix - Eurovision 2014 - Austria,2KqrsypJqXIKDentWkQu0J,0
Marija `erifovi,Serbia 2007: Molitva (Nova Remix Verzija),73athu59HUqlI7keWFVt5B,0
Lordi,Hard Rock Hallelujah,7sZTvm0Sx8umbyQViTE2Qc,58
Sertab Erener,Turkey 2003: Everyway That I Can,5TZYccy07XtxWYEvRYGTcF,0
Lena,Satellite - Germany,44YQgP67VMWo2CAPlkD3VG,0
Måns Zelmerlöw,Heroes,4ciaNqHWA2IzHphZaVRzHI,59
"Malena Ernman, Fredrik Kempe",La Voix,7Kz4f9CgtAfbmPBMX5q2ZV,39
Jamala,1944,7rUjsQxU6ToNTxMAa9rOc6,0
Dami Im,Sound of Silence,2b9czDPSLTI88694CIqCy3,49
Poli Genova,If Love Was a Crime - Eurovision 2016 - Bulgaria,1G5qDCiqei7ozj5ku43TuR,43
Iveta Mukuchyan,LoveWave - Eurovision 2016 - Armenia,6F3waFskKCqXmiR5gaquey,36
Nika Kocharov And Young Georgian Lolitaz,Midnight Gold - Eurovision 2016 - Georgia,7ispaqlWe8OZ3h0Z2OY7bP,0
Jamie-Lee,Ghost - From The Voice Of Germany,7rFjDdfiDZGtGAlHpNj6Kg,0
Justs Sirmais,Heartbeat,59YDuvEyFGZaId3dyFu8RN,36
ZOË,Loin d'ici (Esc Version),2cfOJEps2LXYNQgbAwM3bR,0
Samra,Miracle - Eurovision 2016,0etFNuOi2EMWBCE9EHJg11,33
Amir,J'ai cherchÃ©,1QJFNfsVQA7VfUJFKgQJzI,40
Amir,Looking for You,5PD2L9edkdIUQM22s5ndj2,16
Barei,Say Yay!,11cf086T0gxzVy9KHh77Iq,0
Douwe Bob,Slow Down,26bqkV4bV12BKHnuUIGLII,0
Freddie,Pioneer,6oedZ02tyJyBbGmMAnpNdR,34
Ira Losco,Walk On Water - Eurovision 2016 - Malta,1yOgwmQx1g6TiHXVqZKadj,0
Nicky Byrne,Sunlight,7tgkZR2Fv3SQ5LWlkWSp4E,0
