artists,name,id,popularity
Faun,Oyneng yar,1SoxXBNfJhUueuxAZEwbtw,48
Faun,Unda,1BHoOKGIjiypUsdU7pyqJV,44
Omnia,Alive! - Radio Version,3zHuCXnLckwWMbFYTFVYNC,18
Omnia,Dulaman - 2009 version,0j38DZZbcQPUSg4N9qBjip,18
Cruachan,I Am Warrior,5mnPqYhrCm3qpXzAcFZgMR,0
Cruachan,Cuchulainn,6MPTl8kRb0SC8OGUd0bV8A,0
Cruachan,I Am Tuan,5vc0Bqfjn0UTcqzVrU9xj7,0
Cruachan,The Middle Kingdom,3uHAeWYiaO8tGCE1CiSkqv,0
Cruachan,The Rocky Road To Dublin,4ugZciqOlCo9cFyriqMGJy,0
Cruachan,Celtica (Voice of Morrigan),4jBxtDMhf1LJxncqSzFfOm,0
Cruachan,The Fianna,16ji9IGJRbm9ktBIuZAxzt,0
Cruachan,Ó ró sé do Bheatha Abhaile,6WErjsqSHXYqR9YAi2uraj,0
Cruachan,The Morrigan's Call,6c3n9OAjgRNybOSNTdVbbF,23
Cruachan,Cuchulainn,58QgN0qyrbCELOBigDHA1e,5
Cruachan,Pagan,2Lz0dTKezy1STp7pKRL8Im,0
Cruachan,The Gael,2xkLXCfSIX1aJfiVN1cegq,0
Cruachan,1014 A.D.,36A4jsP6zPsEzKRn1eL0iA,0
OMNIA,Dance Until We Die,6iGZPDGUksc4uRhwV1L9V5,24
OMNIA,Jabberwocky,6aUFNw7oxi9GpbxVAGNvpD,15
OMNIA,Taranis Jupiter,0aWzz0wakEjoeMaWJdUg51,13
Rapalje,Wat Zullen We Drinken,0mb9Zpll8pNwDGJ868FsyS,34
Rapalje,Galway Girl,31XjWj8LIfi5FSPbvEdCq1,26
Gemma Luna,Yonder Hill,3LJR7VySARMc9lLUXbb5R8,0
Heidevolk,Nehalennia,2h05zn3mJdrubbO4Ox8uHr,19
Heidevolk,Saksenland,19HSzeom8R1WwraNaxerbQ,18
Heidevolk,Vulgaris Magistralis - Bonus,1FAmAqRZwILDXysWsG4IA5,0
Heidevolk,Wodan Heerst,2yjJhcECTJuLH5OXYyCTGF,11
Gaelic Storm,Johnny Tarr,14KEJ8PwiMgHyY20wks6hK,44
Peter Miln,Tam Lin,73c78QEiQWFfkJYB9K5AdU,0
Maire Brennan,Against The Wind,3KGGNSegZajDoQBCpKKPXI,16
Maire Brennan,Voices Of The Land,73OXZhFmz1p4kSXQ7Bj2fd,8
Lothlorien,Foggy Banks,3tsESTcIPlTFir0cfZxKEB,14
Celtic Woman,Dúlaman,6s4tmVUNIhCFzwdikt4l5m,50
Celtic Woman,Caledonia,4arr5VKJbKO8PO5OY27NrM,48
Celtic Woman,Si Do Mhaimeo I - Live,7BsL26icVm1H53xLAw5tvC,32
Celtic Woman,Orinoco Flow,77Fx1HtDox0xmvmvL23arD,45
Celtic Woman,Siulil A Run,31cqpHjzkace8Yyd190A62,38
Enya,Na Laetha Geal M'óige - 2009 Remaster,4Q95ucrGseDnzkugvvO8FN,41
Enya,Athair Ar Neamh - 2009 Remaster,5SXAH34KnU5rBUCwt3DVj3,0
The Corrs,Toss the Feathers - Instrumental,3zUoP8v44Q8lIYAXMOq5eP,20
"Jenny Wilhelms, Talla Vocal Ensemble",Wilhelms / Arr Mäntyjärvi : Herr Olof (Mister Olof),4q6L1GfM5gJyPWFkKRJWWF,0
"Hesperus Early Music Ensemble, Tina Chancey, Scott Reiss, Grant Herreid",Flowers of Edinburgh East Neuke of Fife,2B83pD0vo49TQFM5w5uo1g,12
Wardruna,Heimta Thurs,6GCd1GLKcZ0kK0gyOHBVLt,0
Wardruna,Fehu,6aDNrqlZUUIZ0uog2sk8Rx,0
Wardruna,Solringen,1mELID7imqVCpel0YfveN8,0
Wardruna,Hagal,0a3cTorqRlxya5NX2QVHVX,0
Wardruna,EhwaR,1E3N6IEP2QugJgwsncr6tv,0
M�negarm,Utfärd,0mXilykDwoHhujMB1Yjzxa,19
M�negarm,Hemfärd,0KGw8SWTnQwT4CBJ0Z2Hq3,34
M�negarm,Himmelsfursten,0L32rcMq2nzKpxWzXekanZ,18
Glen Of Guinness,The Manager,2Xd9suPakNge3eG2Rovlib,1
Glen Of Guinness,Jigs,1LG60QdJysCif29DxJ8DEp,1
The Gothard Sisters,The Three Coins,2pQwnQGRyHmoSuC5hLJpQz,28
The Gothard Sisters,The Sailor and the Mermaid,4wPNC3xOFqFTjylnh1eYud,24
The Gothard Sisters,Willow's Waltz,7tkOJ3GHFX25sw5teIkJLt,20
Caladmor,I riden så,5skueiLYRBQ1eoGFJAKxgt,8
Caladmor,Herr Mannelig,7gkd9BXmZrYIAsOibWiYle,3
Lumsk,Ormin Lange,0V2yMyKinK71IRlIl20OHx,33
The Moon & The Nightspirit,Rego Rejtem,2cFz1YOEbq6L1MVld1lU6c,0
The Moon & The Nightspirit,Ég Felé,1rhtXEbsfAOSbrSsT5v6II,0
The Moon & The Nightspirit,Pagan,7k9loXI7wmkFOL3xt75gFU,0
The Moon & The Nightspirit,Alkonyvarázs,2HDuyp4Lj1OwHorulVTXC3,0
The Moon & The Nightspirit,Égi Táltos,5mboE6CWEro9pnstW18r6t,0
The Moon & The Nightspirit,Beloved Enchantress,5r7aRdiih3AKXvV8gb78rZ,0
The Moon & The Nightspirit,Holdvarázsolt,4zmVYfE33gWDe0yOYIKetA,0
The Moon & The Nightspirit,Örökké,6LJwy6MH5v1JakaaFtjyFm,0
The Moon & The Nightspirit,Föld Szíve Dobban,1h7AQah41CaCExfvSsRkrS,0
The Moon & The Nightspirit,Szarvaslélek,5WtL6m44vNU1SmiZ4GFHuB,0
The Moon & The Nightspirit,Avarálom,5cEMyj8Uli58pJy4vZRMYc,0
The Moon & The Nightspirit,Csillagnász,47YKSPQllIStWJOU6yGW1G,0
The Moon & The Nightspirit,Rögbol Élet,23bA7SU0ptCJv3isHh3czK,0
The Moon & The Nightspirit,Éjköszönto,4D2Mco0en01dLdlaQFkM17,0
The Moon & The Nightspirit,Álomidő,0iIs2B8nE51yaM59tCvsCj,0
The Moon & The Nightspirit,Fénybe térő,1UDgAEey1YedrR4Zmvbr42,0
The Moon & The Nightspirit,Benső patak,6oPLJ5Y1V70uI7cSKQORrf,0
The Moon & The Nightspirit,Tűzben születő,127rvRANEvPpc1QSqH5NlU,0
The Moon & The Nightspirit,Alkonyvarázs,20lQyz7tf3SGL7Nts0Je8p,0
The Moon & The Nightspirit,Hétvilág,7keAJUjNFa154sq7PAYoLN,0
Garmarna,Herr Olof,3v4q30hOpjnjAMbQBzqLqJ,0
Garmarna,Jordbyggarlåten,24I44goCbulX5wWYRTc0ws,0
Garmarna,Trånpolska,6y66l2PpPHYxa8cKKmKmYd,0
Garmarna,Vittrad,4pVWeoP47UjMtno8pYnf7l,0
Garmarna,Antiokia,0lp3PkWm4qODnjKjjGJVYe,0
The Corrs,Along with the Girls - Instrumental,36k5lQnhOvCOWv8vtI9Xkf,28
The Corrs,Erin Shore (Traditional Intro) - Instrumental,6YyrVIoSv0zGoXKIJWJkk5,2
The Corrs,Toss the Feathers - MTV Unplugged Version,0fqyQzsgwxj72IFo7E0FMh,43
Grimner,Eldhjärta,6KNE8oxftEUsm0dLm8ZLRp,0
Fejd,Härjaren,0SiXdKiflMzBSuYTmdfsan,0
Fejd,Den skimrande,5rfiFOlvvC8t9hCDft2q1L,24
Ivar Bj�rnson & Einar Selvik,Intro: Ull Kjem,6Zqc8X3k80jfn51Jctbi2t,0
Wardruna,Odal,6SsE2eNzGV0BWgopjLy5Bn,33
Faun,Midgard Prolog,7By5rhPgRyO6736lbMlat2,0
Faun,Federkleid,6bDaGUlOFiN79ym8XoZrlP,0
M�negarm,Tagen av daga,1p6YCnXZ36Py63W0U1zz2e,0
Eluveitie,A Rose for Epona,4Puqg8T9oO0Olr8P49ag18,0
Eluveitie,Omnos,3deBHtJqkhFwcatlZZM90L,0
Eluveitie,Brictom,4ZkEak2Z6WrdXe0JI0ghPO,0
Eluveitie,Setlon,3qqgmYagDaNtEZRCocGVNg,0
Eluveitie,Havoc,7DZaKn37Djqt6gbehQAp8Z,0
Eluveitie,Uis Elveti,6gRpIdtfLWsBKiv2mj9wKE,0
Wardruna,Tyr,6c5Eau7Qbz9jkwIYspWv3H,47
Arkona,Odna,5mtemCj5WN60m9ZEZdBJzN,10
The Moon & The Nightspirit,Mystérion Mega,0alvVUfFy5o9cQ1H0GhyqE,0
The Moon & The Nightspirit,Metanoia,7cUQSrrj8R8INkJXRmeX6L,0
The Moon & The Nightspirit,Kristálymezök,6ZB0d2NJ4sc1oeiJ8od6an,0
The Moon & The Nightspirit,Égnyitó,6mqh4squHniEBN7qbJSaPl,0
John Fogerty,Change In The Weather,4mw8tSKR3pOBhouTgrAAcy,0
Eluveitie,Epona,7hC2BtBRImpHAwbOp0yY3d,0
Eluveitie,Grannos,0z5wZrLvVecPTguCRQ7NEG,0
Eluveitie,Antvmnos,3SCKv4FU7fisVKSseqSira,0
Garmarna,Vänner Och Fränder - Radio-Edit,0XpxjfAZBZT0qXcrL6neka,0
Garmarna,Skenpolska,3195z96N0RCna7zNMDkXJa,0
Garmarna,Garmgny - Trio version,2SBWKH8X2CwalbU57PVLxD,0
Garmarna,Garmgny,0UaoHuA3OIVdfGh8wXT8sL,0
The Corrs,The Sun and the Moon,2pTT9FFtrLMUysUm2YbbrH,32
Leaves' Eyes,Rulers of Wind and Waves,7hlLrx8urtFS5R1HacyAUw,15
OMNIA,Auta Luonto,56jskL6p0EzRBMJ2XvS9VR,13
OMNIA,Fee Ra Huri,7BinuqowXzqQO2fEsYK5yN,52
B020 ,Сумецкая,6ybFBtC9hPmDLcNGCYksRH,0
B020 ,"Ой, Дуся, ой, Маруся - казачья лезгинка",3mBBQTU0eC8gxoav0KlrX6,0
Celtic Woman,Níl Sé'n Lá,13dEX45vSmJb75Y7mByKX4,42
Celtic Woman,Dúlaman,3jqI6oQPH12DBt7XL7Ytub,35
"Celtic Woman, �rla Fallon",Siúil a Rún,2Ct5kro7Pzxhf5JSXtdE32,29
Celtic Woman,Orinoco Flow,7CV6aGXHTyPsJV8YuJjp8y,29
MeNaiset,Kuulin Anen,3qRdEOjijulY2s4RKJmmH3,0
OMNIA,The Elven Lover,2D0XLoXw3SxKlCHVY4ijEy,25
Wardruna,Ár var alda,0R7zJSvI2dXV30J2puu21q,42
Furor Gallico,Golden Spiral,05ywMBdc5abt402CcuYW6K,18
