artists,name,id,popularity
Bobby Caldwell,What You Won't Do For Love,03Rjf1kADLYV5sHAh2FiJc,0
I Monster,Daydream in Blue - BBC Radio 2 Session,6Ss99CQv1UTE2bM6NmbZh1,0
"Isobel Campbell, Mark Lanegan",Come On Over (Turn Me On),2veoyIugJr4yB3bLM5tieb,0
"The Internet, KAYTRANADA",Girl (feat. KAYTRANADA) - Radio Edit,2gvkz0Cxw7OtEh2d5G9uEC,45
The Internet,Missing You,2wpIImsIxXpYonnrGr0CdW,40
Timber Timbre,Hot Dreams,5AdpHyyqm66NhW0wpZg5yK,0
My Morning Jacket,Only Memories Remain,06hX2daPPS7JP5f9rJI3t2,45
Nao,Inhale Exhale,2fv00qmva1kpCctrKgoIer,46
Nao,Blue Wine,40CrAsHK8vJIAHX6AxZWUi,33
"Katy B, KAYTRANADA",Honey,0l7BnXBqmpJ7e3fgiRviJS,0
Ane Brun,You Lit My Fire,60aBJoZ8U60cSkdksqr0ri,0
Mr Twin Sister,Blush,5ldj2gZlEmcxSWr0xpStK4,0
Lauren Jauregui,Expectations,1EXotCuzdXR34W1MoP6Um7,65
Puma Blue,Moon Undah Water,0ZWDvjDY3OCwN300x1ktae,0
Childish Gambino,Redbone,3kxfsdsCpFgN412fpnW85Y,1
"Barrett Marshall, Sitkah",Back to You,2ihGhgBYuX7ai0Yr6X2gQR,24
"Nohelani Cypriano, Peter Moon, Jerry Byrd, Kapono Beamer, Roscoe Wright, Master Henry Gibson, John Raposa, Kata Maduli, Wayne Hobbs, Henry Kapono, Winner Female Vocalist of the Year Hoku, Winner Contemporary Hawaiian Album of the Year Hoku",Lihue,7notpYpZl7wQAXkH1UUhsv,36
Portishead,Glory Box,68oUQRwGJGExtkpaSvSbgb,0
Hooverphonic,2 Wicky,4NyKEVldCvokxpmeFBNNXI,52
Erykah Badu,Other Side Of The Game,6s4xndGKUhW0xXPYvFlwcL,58
"Kindness, Kelela",With You,7a1H4rDbt4fgg2IhGbiPn4,0
"Vud, TV≈",Underwater,0dU7NinA4H2ocm3GDdqDjy,27
Kali Uchis,telepat√≠a,6tDDoYIxWvMLTdKpjFkc1B,87
