artists,name,id,popularity
Crazy P,Something More,5gf6B78U9yT5inZsJidlVO,0
Daughter,Fossa,4iqp8FcY9xlLxJvnl9dMrJ,0
Little Dragon,Underbart,57RLLzHppOQaqOE5y24ZDH,0
Skinny Pelembe,Spit/Swallow,1zwKsoQKIyi30w8dvI4Oof,0
Joe Goddard,Home,2kjFSJMq5ik66eXdSNg3EV,0
"Willie West, Cold Diamond & Mink",I'm Still a Man (Lord Have Mercy),6nIL8r8k59ulmQWaEwwqwb,38
Chastity Belt,Seattle Party,3OHdhLUobIIKskQHLJAaqe,52
Jason Nolan,Late Night City Hawks,7dJWa2SkugsqBiZwHVJnds,0
Nohelani Cypriano,Lihue,4UeSleTsjljEIdEGRdVggm,40
Greyhounds,What's On Your Mind,4nH0kopeH9MszNqfPDsjrI,0
Loma,Shadow Relief,0cLL3RhCYAV9xgRLmSP7A7,0
Fabiano Do Nascimento,Minha Ciranda,6ce5ozgjHE0JoYlIpk4WYN,38
Cornelia Murr,Different This Time,4WFWh42DCkPCjcjqITk54S,53
Cornelia Murr,Man On My Mind,2NRapgmqFRRnflBV7p9ZzT,45
KT Tunstall,Poison in Your Cup,1B6lNRCk6yKvqIKfFR7Wvp,0
TEMPOREX,Open Letter,6MsQn0HNp905fZZUb6atFF,0
Wings,Wild Life - 1993 Digital Remaster,7sCuFRrNAFWBHzPYt0ucPX,0
Lady Wray,Underneath My Feet,3d2NhOJtj7aTzipQ3mr4Aq,0
"GRiZ, ProbCause, Jaye Prime",Smoke That (feat. ProbCause & Jaye Prime),3zgeIdqvFiQiBDVDYJqRxZ,52
Elder Island,Welcome State,7JJinw17P46NEPXimuRkvt,0
Febueder,Morning Yawn,1Sz1NdKzj6i9zFXRCK0tEh,41
Febueder,Owing,1LqQJSNGxXnFGHc7jermfv,0
Red House Painters,Katy Song,6aIZItn2r8NPrnvVhvcnOr,0
Ultimate Painting,Ultimate Painting,0vIwhPGBrTcrYM1f7u9grh,3
Francis and the Lights,Etc,4JhfFW29hVNmJZctt6wEAs,0
Nathaniel Rateliff,Boil & Fight,7rctGgGFoAghy0po83YA5X,0
The Chills,Pink Frost,70edK8hEu22TwodGaahjdO,47
Cold Showers,Only Human,4W3Zm3KRIqwH45hqOnstBu,0
Whitney,No Woman,0BUBKT2lJmwpszIgwWEyd0,0
Princess Nokia,ABCs of New York,3zUNq95ZQ66ksuszn0PJYI,0
Sudan Archives,Nont For Sale,2khtq6s1Ti5fqFWopzq9cw,0
Marlowe,Lost Arts,5pDjbU8DBoNLSsTfaYC75R,45
The Natural Four,Try Love Again,2tDQsXQCvipwjrsJMf4ZDf,35
Rolling Blackouts Coastal Fever,French Press,3xuTjTxGkMVtxnHCAntxTs,0
Vök,Hiding,1DMSlqYhNu8czRoYdX6mEv,26
Stimulator Jones,Soon Never Comes,0Pt3XIwMQRukrGJWqn6g12,0
Ginuwine,Wait A Minute,2nheFzHVqVYeK1LuS5AsyM,37
BRONCHO,Class Historian,73i6MgP5CKhhnZ69Go6u2X,53
