artists,name,id,popularity
Stardust,Music Sounds Better With You,303ccTay2FiDTZ9fZ2AdBt,71
Michael Gray,The Weekend - Radio Edit,6KzkqZqhUBEsWYJJa2aBOd,68
"Room 5, Oliver Cheatham",Make Luv - Live,3UZK9yD18Mtzb6MgYBmuLW,59
Vantage,50//50 - Edit,40bj08VSaRDyZ2Z94ystNs,55
Yung Bae,You've Got Me,6qRRj3Q5VGrlbFILTKDiVz,47
"WEISS, Purple Disco Machine",Feel My Needs - Purple Disco Machine Remix,3RiRFyvasDtAv8n0AQUKFG,63
"The Supermen Lovers, Mani Hoffman",Starlight,5luWJxS799LLp2e88RffUx,54
DINKS,Street Player,7jyups4kO0Dkr86qzfXlJY,29
Loop Jacker,"House Music, I Luv It",0frDQSMf7VXEdGBvm8U41y,10
Axwell,Nobody Else,7g2WfNLkwj6QeYmXleHUvi,55
"Robyn & La Bagatelle Magique, Maluca",Love Is Free - Original Mix,2LxXw4Ne2U1wAue9ETgFZh,31
"Soulmagic, Saison",Soulmagic - Saison Remix,5NbMedxCM752Sw8buZH1Ka,29
DJ Koze,Pick Up,5YzBL3vkQnp3JbeDRRSbSQ,57
Marcus Cito,Medicine,2jzmiQmmiO9M1uudbgdSM1,43
"KAYTRANADA, River Tiber",VIVID DREAMS,6ZBFJwlj6uJ1Th4m80KlSU,57
LVL1,FVN!,4lGOHDJr4PvUguwpMxjzlu,30
"KAYTRANADA, Syd",YOU'RE THE ONE,2b4SSorCTQ2VzmllaeWuuT,0
"Azealia Banks, Lone",Count Contessa,5qc9oEjMRZvdECu3g5vU8P,58
Azealia Banks,"Movin’ On Up (Coco’s Song, Love Beats Rhymes)",0gCpc9cO03fNdnf7to5uPc,0
Azealia Banks,Luxury,3EdZANeCsEj2fFfD9HRdR4,48
"CamelPhat, Elderbrook",Cola,1HrMWH5GUdK6Yi94rbANJA,70
Shay Lia,Funky Thang,5zVB1UcrO52SUONu7h7F7U,47
Cosmo,Ivrea Bangkok,4PJsdf2T3v7IyLdmDb2khy,28
