artists,name,id,popularity
Nat King Cole,L-O-V-E - Remastered,7E3rc13GL2I5wA6CIFXaxs,4
Aretha Franklin,Respect,7s25THrKz86DM225dOYwnr,71
"Ella Fitzgerald, Harry ""Sweets"" Edison",Blue Skies,3VPHOA7SowIfmUk6dkO9Rm,0
"Ella Fitzgerald, Chick Webb","A-Tisket, A-Tasket",5VqJkC25hXxApcoQL9mCvv,0
"Ella Fitzgerald, Louis Jordan & His Tympany Five",Baby It's Cold Outside,4GFN7tPIMYAsmN3fudn5Gh,0
Nina Simone,I Put A Spell On You,0C5ex13H3zRMsqSROZu78W,14
"Ella Fitzgerald, Louis Armstrong",Cheek To Cheek,4LugXNtxugCB3FEiM696KU,2
Ella Fitzgerald,Manhattan,6WyE9Oo23AHj3XIAUxtEDi,0
"Louis Armstrong, Ella Fitzgerald",Dream a Little Dream of Me,3Pkz72QTbOWEXnkhhcrFgP,22
Ella Fitzgerald,Let's Fall In Love,61XbJmg5rnX1exOdAfMOwh,0
"Frank Sinatra, B. Swanson Quartet",Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),7inXu0Eaeg02VsM8kHNvzM,23
Ella Fitzgerald,Black Coffee,1CwV9ebJfOkHkDopLNOcze,0
Nina Simone,Feeling Good,61S0mEfdRtJ62Fc7fPqx0U,20
Ella Fitzgerald,Winter Wonderland,18tklJthLAeVuvnBWvPEJ9,0
"Michael Bublé, Shania Twain",White Christmas (with Shania Twain),6EM7JApNrP4fftMlDsOAZG,53
Ella Fitzgerald,Broadway,0n7kAn6cuVxbitIeefCas6,0
Eartha Kitt,Santa Baby,1vZKP9XURuqMp1SpXGnoyb,55
Frank Sinatra,Chicago,6D2gpUT1bJDCMJvRSNv2lE,17
Ella Fitzgerald,White Christmas,2FcgdSFcDoU4T1hhOzurcg,1
Esther Phillips,Just Say Goodbye,5HiI5koKreGVsXAB5F0uuw,29
Frank Sinatra,"Theme From New York, New York",17bBNcLyMBDayQskHJX29T,7
Esther Phillips,Home Is Where the Hatred Is,1dtAnQAlBEcvW2kxnlKrwF,41
Carole King,I Feel the Earth Move,7onOpypcFWFc2YjMIcJnx9,9
Etta James,At Last - Single Version,0CmIALzGn4vHIHJG4n3Q4z,22
Ella Fitzgerald,Too Darn Hot,5CsBKdMyyfvX7bfQ5IMLLb,0
Parov Stelar,Booty Swing,64yyY22zIihs01OpURdsh8,6
Édith Piaf,La Vie en rose,3lAun9V0YdTlCSIEXPvfsY,61
,,0GAYImKz59gJCEDvlX25V4,0
Ray Charles,"What'd I Say, Pt. 1 & 2",2NxJAXEBTMOpROC1fLSdP9,25
Andy Williams,It's the Most Wonderful Time of the Year,5RPVSzZW6R0pUza8Hs2sC7,40
Liza Minnelli,All That Jazz,3M3RB8Vw7HaobeuMtfwnPi,19
Etta James,At Last,1hXIdXjAI4nWz4qnJ28iO2,8
Melody Gardot,Same To You,1eJl8oBCOW5kjNa1oxMJOv,1
Christophe Beck,Main Titles,5vGyvRK9VVnL3CJJQBcqoB,0
Jacques Brel,La valse Ã  mille temps,6iWE5LhR5Fh8sWUHLxW9rR,1
Dean Martin,Mambo Italiano - 1998 - Remastered,0B7GqwPSL0VmfEYgL0ep79,2
Connie Francis,Siboney,4cdByHi7tDtkNt2XPPlE4n,0
Melody Gardot,Preacherman,14HQg9hvj4tba5i7RZID7G,4
Melody Gardot,Your Heart Is As Black As Night,4lO5Pi6rjI5P2CWVEVKb0e,8
Melody Gardot,Worrisome Heart,44zqBRucPIZDEaeG82SAzh,8
Melody Gardot,It Gonna Come,5m4mINcgJp3OzTJ0SUI9F4,1
Etta James,I Just Want To Make Love To You - Single Version,3CfbTySGo5sxnvbyOQlhDm,8
"Louis Armstrong, Ella Fitzgerald",Summertime,3ZR0us36Z8kgBXFMYkhugR,10
Fontella Bass,Rescue Me - Single Version,6PchKwjaU56tU8HcFYhuGv,9
Aretha Franklin,Son of a Preacher Man,4uCbetXW9LStYPUjCpBVp9,61
Royal Crown Revue,Beyond the Sea,7DYxulQCgtO70P6yzpOa9V,26
Denise LaSalle,Trapped By a Thing Called Love,4PdnMQMZFrzfnSMGhmMnGx,1
Cherry Poppin' Daddies,Zoot Suit Riot,1qmJbXpVLydNcN6VTR40GU,48
Frank Sinatra,Luck Be A Lady,3MIEsuQuZQeLSfD2EnM2BS,10
Ella Fitzgerald,Winter Wonderland,0nFQinbuuoB1RsALgI3PQ9,1
Roberta Flack,Compared to What,3ZTEMmFm3FzfEtjqJN32c1,45
"Koop, Yukimi Nagano",Come to Me,45eCilC717Z0LRfK9m9qdC,36
Louis Armstrong,La vie en rose,1Ait0jk2BP3oxhscvEkUXp,30
Lil Greenwood,Grandpa Can Boogie Too,0FjyntKCh3s3ZwOm3gRrgf,1
"Harry Connick, Jr.",Rudolph the Red-Nosed Reindeer,55MEuot3LcblVWskBOPZIQ,27
Blossom Dearie,Manhattan,6ReTCbOAUbnKKVBY0ckJMS,48
Irma Thomas,Anyone Who Knows What Love Is (Will Understand),6L2woktiAuW35BrcROmhW5,55
"Dean Martin, Helen O'Connell",How D'Ya Like Your Eggs In The Morning,69yWrxyv3AZc1S9usRdMAq,41
Barbra Streisand,Don't Rain On My Parade,1zf8Xmj66XRiI6Etw2Ddu7,39
"Gerry Mulligan, Johnny Hodges",Bunny,608Il5lMSRS5AK7QUZlVPt,31
"Lambert, Hendricks & Ross",Centerpiece,1C4XD6iEya2WZPc28YmOy8,16
Hoagy Carmichael,Georgia On My Mind,0yoQrdGXBlL5syZ2xzgzMU,27
"John Coltrane, Johnny Hartman",Lush Life,28WSuFcspGtw24pnP7aqii,25
Aretha Franklin,The House That Jack Built,3uK6SqdNXutPBNi6vUenpt,41
Chet Baker,I Fall In Love Too Easily (Vocal),3CLfWxYPHrTz3UFLCRUbGT,24
Dinah Washington,This Bitter Earth,0CuIp3hSEdTQTEzNaDB0ir,0
Shirley Horn,I Watch You Sleep,4JygDwvt7segPuyhgEabyk,28
Alice Coltrane,Turiya & Ramakrishna,4DVu7YgHVJaeN0C7HNpy2q,45
"Sonny Rollins, Tommy Flanagan, Doug Watkins, Max Roach",You Don't Know What Love Is - Rudy Van Gelder Remaster,4F8h9jXJBeuSRQSlo6owwL,31
Anita O'Day,They Can't Take That Away From Me,0qquLHIRp5HDdarE9X1JXJ,0
Etta Jones,If I Had You,5LW3V50XwYsYstZtJrufJt,0
Frank Sinatra,Witchcraft - Remastered 2000,6fiFNYu2041YiEqSijti88,42
Chick Webb,Devoting My Time To You,66DaA6CtReUux4qYzM7wnl,0
Fats Waller,Ain't Misbehavin' - Remastered,1ziXFrJy3NXdQgJB7Joq7m,25
Nat King Cole,Let There Be Love,2YsxdgfdysICWS4Mrn25hd,5
Nat King Cole,This Can't Be Love - Remastered,2i7mrUSIMIA9QKri6XccwS,0
Seal,Luck Be A Lady,7bhwSv9dW5NKxNE8RmxHlN,1
"Jamie Cullum, Eric Cantona",Be Our Guest,04wavAHCikfiFYMiyV7sA4,0
"Ella Fitzgerald, London Symphony Orchestra, Louis Armstrong",They Can't Take That Away From Me,5TioNjnbfvBfBNR5szcORZ,1
Jackie Wilson,Reet Petite,533NW3XHuW3MjO4vLqY2iV,49
Smokey Robinson & The Miracles,I Second That Emotion,5eAqR9HaQkLs1XIN5T6NyH,3
Gladys Knight & The Pips,I Heard It Through The Grapevine,1aRrJewQmqU3wMUf86VVc6,49
Peter Cat Recording Co.,Portrait of a Time,66d07iqCtV7lTPunX8idYp,43
The Andrews Sisters,In the Mood,0MQUMFLhBn3KbmwW0GUbQR,24
The Andrews Sisters,Begin the Beguine,7Lmha7WA9YL2NLIBH1fKHC,6
Roberta Flack,Tryin' Times,5wNo8LEPPEs9HSYh0A63CB,41
