artists,name,id,popularity
Kuytu,Ada,1yMadjsbzOne0wdYPxDZyX,46
Sezen Aksu,Sarışın,73G6qD9mGumhJtyGcmFQo8,43
Neco,Hani,3JLoJmoyOKfIYmJCtOs9ZN,0
Neco,Ne Bu Halimiz Böyle,1KWnQxnY351pNSoZVUkpGY,0
Sezen Aksu,Şinanay,4LXLtYkX7JpdgZgKxdKF4k,54
Sezen Aksu,Rakkas,0LGOygzEX94GVQsADi2Dsm,57
Sezen Aksu,Onu Alma Beni Al,2q1USL7C22nbLRjGEuabl0,54
�zlem Tekin,Hep Yek,6396ViaekdZrogOPyEzq0E,45
�zlem Tekin,Cinayet,2DO3kaHzvvtPOYWNCVqayQ,30
^ebnem Ferah,Sigara,4wl2ZAzq2sUfUMPhJnZDpb,45
^ebnem Ferah,Sil Baştan,2hT3LjtLWRoubEHJLxaQf6,51
^ebnem Ferah,Mayın Tarlası,4wRDGEeILaLOVJMaIBmAEn,49
^ebnem Ferah,Ben Şarkımı Söylerken,3J83ikPFZGOMBKxZckHwHH,39
^ebnem Ferah,Okyanus,2JFBITcDGPxHIZLPb9nGBg,31
^ebnem Ferah,Can Kırıkları,7LofOLjKvJSxWbT0Kc0PNy,42
^ebnem Ferah,Çakıl Taşları,72cx5WqTKi4TKRg0nZD9zV,46
Hayko Cepkin,Oluyorum,38SZCSmXZJDoaEf0YjQQv6,60
Hayko Cepkin,Firtinam,7JG7tn9tgEy2NwuPVAIkzE,57
Hayko Cepkin,Bertaraf Et,7kA0BhZGs5T3djNMwM5Uil,51
Hayko Cepkin,Yalniz Kalsin,74v094qCcuEzXAy3H9giKG,46
Hayko Cepkin,Yol Gozumu Dagliyor,2zziz37en4xl61inSeNb8l,53
Hayko Cepkin,Gelin Olmus,36FiVjkKOIKptnDh76N6gJ,44
Hayko Cepkin,Sonra Goruselim,79TmiCXOUrRz5K2KTyEr2T,32
Hayko Cepkin,Kaos,4NUXNGSrXloKN5fJEJ6mLD,33
Hayko Cepkin,Son Kez,4mprfjbspwwgV73DCqzK71,44
Bar1_ Man�o,Alla Beni Pulla Beni,0gJlUnNZculZgiiP670ncU,0
