artists,name,id,popularity
"Traditional, Jordi Savall, Montserrat Figueras, Maria Cristina Kiehr, Rolf Lislevand",Une jeune fillette (M√©lodie populaire - Arrangement Jordi Savall),0K1mYnV1naSrhB6AKRcz2s,28
"Monsieur de Sainte-Colombe, Jordi Savall",Gavotte du Tendre (Mr. de Sainte Colombe),12exJgZovnruv9PBghBPKR,26
"Marin Marais, Rolf Lislevand, Jordi Savall, Fabio Biondi, Pierre HantaÔ",Sonnerie de Ste. Genevi√®ve du Mont-de-Paris (Marin Marais),7f9iwK3Z2eZ9tqNurjiuRh,37
"Marin Marais, Jerome Hantai, Pierre HantaÔ, Rolf Lislevand, Jordi Savall",Tombeau pour Mr. de Sainte Colombe - 2√®me livre de Pi√®ces de viole (Marin Marais),6j3rYNPx8MAEMBWCM10jqW,22
"Marin Marais, Rolf Lislevand, Jordi Savall",Le Badinage - 4√®me livre de Pi√®ces de viole (Marin Marais),26hfrwr3INTY3Z7cSl7JLW,30
"Marin Marais, Pierre HantaÔ, Rolf Lislevand, Jordi Savall",La R√™veuse - 4√®me livre de Pi√®ces de viole (Marin Marais),5ZluUhzmFXC0nJI2NyNz1g,31
"Jean-Baptiste Lully, Le Concert Des Nations",Marche pour la c√©r√©monie des Turcs (Jean-Baptiste Lully),5UO0mq9xiBiwwfA91u8YQn,40
"Marin Marais, Jordi Savall",Improvisations sur les folies d'Espagne (extraits) (Marin Marais),5lUy8a81UTZjBmtx8tgqGT,35
"Traditional, Oni Wytars Ensemble",Jalla man,6zMWUCnRLQXDz6UQIeXdIs,2
"Anonymous, Jordi Savall",Greensleeves to a Ground,6lplrNISUrubMmjzKdjEY8,15
"Michael Praetorius, Westra Aros Pipers, Bourrasque Ensemble, Bertil F‰rnlof",Terpsichore*: a. Bransle Gay 1 b. Bransle de Montirande,2gDPe8PE5re1hcxHGxMz7A,19
"Josquin des Prez, Capilla Flamenca",El grillo,31XW18CqNm4YushzsiIxuq,0
"Gregorio Allegri, Oxford Camerata, Oxford Schola Cantorum, Jeremy Summerly",Il salmo Miserere mei Deus: Miserere,62VUI35qqDKicbURf7HNek,12
Jordi Savall,La Spagna: Danza alta (instr.) (Francisco de la Torre),6emmgbOSMXFYUEwC4hTUVt,3
Ensemble Fortuna,"Rose, liz, printemps",7J2NMeW7hlZmplqJ1QmGP7,0
Estampie,Ben E Crudele,6WsbFUH3eNKNQeNF3VHMM5,2
"Francesco Landini, Leopold Kern, Freiburger Spielleyt",Ecco la Primavera,7pOcAur8zXsgQuVllBGHCE,1
Poeta Magica,Diane vitrea,4hZP6BaXGcMikflrZTS8l9,0
"Capella de Ministrers, Carles Magraner",Lai Cantiga 139/183,7r0EIlf0SLQz51LhKb0otD,0
"Gilles Durant, Folger Consort",Ma Belle Si Ton Ame,7jYxjevM0173SeYTODmgE4,0
"Anonymous, The Dufay Collective",Propi√±√°n de melyor,2LxFFKP196xsLfcqstyX7n,2
Dead Can Dance,The Song Of The Sibyl (Remastered),2KbTRhqw90FAVMkTG99qO1,25
"Anonymous, Musica Antiqua, Vera Zlokovich",Lamento di Tristano et rota,0jTPvIO3kgfiUOvhytimaQ,0
Doulce MÈmoire,"Noi siamo galeotti in Canzone, Sonetti e Frottole",3j0a0EINuwXQrBk1svX0Qd,0
"Thibaut de Champagne, Emmanuel Vistorky, Brigitte Lesne, MichaÎl GrÈbil, Viva Biancaluna Biffi, Pierre Bourhis","Seignor, saichies qui or ne s‚Äôen ira - Chanson de croisade",1wc86t0MCBustA80vYIWGI,3
"Guillaume de Machaut, Ensemble Alta Musica",Je vivroie liement,6fvfhp3ILrQ9vfUZv0GUw9,0
"Anonymous, PÈcs Chamber Choir, AurÈl Tillai",Un cavalier di Spagna,0POQlCzasH1oisw5iA0VnX,1
"Anonymous, Camerata Hungarica, L·szlÛ Czidra",Un cavalier di spagna [Apografo Miscellaneo Marciano],28iUy73k4hC7YlJ9ws9crw,0
MediÊval BÊbes,Ecce Mundi Gaudium,5Y8bt8Zul4nEkxpahKXAEz,0
"Capella de Ministrers, Carles Magraner",Qu'es mi vida pregunt√°ys,5LnKXETFmHz2zzA1YgxUKn,0
Ensemble Enchiriadis,Los set goytx,7AYw9owDkAvvVUTxAl0OqV,0
"Ensemble Micrologus, Daniele Sepe, Und Rote Jazz Fraktion",La manfredina,2ewI1u2cffrNclXV4Ie8qA,1
"Alfonso X El Sabio, RocÌo de Frutos, Ensemble Fontegara, Ra˙l Mallavibarrena","Cantiga No. 156, ""A Madre do que de terra""",5cstMPnapWkdsIrzsTij0z,1
Kiltartan Road,Corpus Christi Carol,3GkhLDFT6fw4WBGMO465rD,0
"Benjamin Britten, Mats Rondin, Markus Leoson, Ulrika Jansson, Torbjˆrn Helander, Anne Sofie von Otter, Ulf Forsberg, Svante Henryson",Corpus Christi Carol,0gj44rS1Xhc2DXxRjcEBeT,0
"Traditional, Hayley Westenra",Corpus Christi Carol,58MTYSfHSfNBatTrbzqwpS,4
"Giovanni Pierluigi da Palestrina, The Sixteen, Harry Christophers",Missa Iam Christus astra ascenderat: Agnus Dei,70KfIHRyyor5WQc4qmNMu5,3
"Pierre de Manchicourt, Ebba Rydh, Nordic Voices","Laudate Dominum: I. Laudate Dominum, omnes gentes",2cm78qIx1SwjBfvDgZPiHh,0
Ensemble Doulce MÈmoire,Susanne un jour,5xI1os95buFeqNTtVnyXeD,0
"Guillaume Dufay, Oxford Camerata, Jeremy Summerly",Missa L'homme arme: Kyrie,2Lu4A1yRyvG56B1rgKx8Q7,17
"Alexander Agricola, Unicorn Ensemble, Michael Posch",Fortuna desperata,0J50G1CP3L0fDkenq1fXoh,4
"Pierre Certon, Joel Cohen, Boston Camerata","Messe: Chanson ""Sus le pont d'Avignon"". Kyrie",2cmXikmtjq8RxAcP7JvTLL,0
"Anonymous, XVIII-21 Le Baroque Nomade, Jean Christophe Frisch, Cyrille Gerstenhaber, Adriana Epstein, SÈbastien Obrecht, Ion Dimieru",Codex Caioni: Salve Regina n¬∞64,1zHD0oV5RbweL5WUby9NBm,0
"Vincenzo Capirola, Christopher Wilson",La villanella,0gLVlRpQxeufwMbKePNcxp,12
"Capella de Ministrers, Carles Magraner",Sol oritur occasus,6pbBtyfs3b4QQBTWi5vilX,2
"Pierre de Manchicourt, Boston Church of the Advent Choir, Edith Ho",Missa Non conturbetur: Sanctus - Benedictus,2mPfkYmvZYVKArAIDzUZsX,0
"Capella de Ministrers, Carles Magraner",Mulierum,51S26qTg9xNSWCHFVPLEUP,7
Coro Canticum Novum e Accademia Barocca Hermans di Fabio Ciofini,Gloria RV 589 : Et in terra pax,5zYfoZ3i6WpkSxKM6iN6RX,0
"Bernard de Ventadorn, Millenarium",Ben m'an perdut,2jZj7LuTFq0HkddUdr8HQC,0
The Clerks' Group,Missa Flos Regalis: Gloria,3uTKzqZ4EVdpu6INt6Uajg,0
"Philippe de Monte, Paul Agnew, Simon Bowler, Carole Cerasi, Julia Gooding, Christopher Wilson",Suavitas et dulcedo,2McMESkqIDz45TvWZTweQw,0
The Clerks' Group,Missa Flos Regalis: Agnus Dei,2Fb4fECWsTsrjP0YMVF98k,0
The Clerks' Group,Missa Sine nomine: Gloria,60SIBqGDPZQ26JmMXQDita,0
Capilla Antigua de Chinchilla,Sanctorum meritis (Himno),6aiZ1Mndhd435e8BTpkhx3,0
Kalenda Maya,Part De Mal,6yBAXBI20HfeJ31UVxtFw5,0
"Diego Ortiz, Piffaro","Trattado de glosas: Recercada No. 4, ""La gamba""",6ww3w78rtzplQKVXlBKwFN,5
"Sean Dagher, La Nef",Carcassonne,6iQ3E69CtbqEnwMwY4SiUQ,5
The Clerks' Group,Mi verry joy,06ui4PGK1WpTvS4z5qb6hQ,0
"Johannes Ockeghem, Musica Nova, Lucien Kandel",Missa cuiusvis toni (in G): Agnus Dei,5J3ED9QQab85G8TtexpZMK,0
"Philippe de Monte, Paul Agnew, Simon Bowler, Carole Cerasi, Julia Gooding, Christopher Wilson",Clamavi de tribulatione mea,5qMlwWGHRNDziivBPFZ2pb,0
