artists,name,id,popularity
"Djivan Gasparyan, Sergei Karapetian, Mkrtich Malkhasian",Brother Hunter,5ryVSyGk9aRZpOLoJ6JRxL,0
"Traditional, Hesp�rion XXI, David Mayroal, Gaguik Mouradian, Ha�g Sarikouyoumdjian, Jordi Savall, Viva Biancaluna Biffi",Menk kadj tohmi,1V1SJHe3MG4TW01L5GtYqY,22
Gagik Gasparyan,Danza De La Cosecha,5V0ztu8naOaUiVZ9Ffz810,2
Grupo �rabe Shams,"Selección De Dabke : Tiempo De Lluvia, Al Ladil Ladil, Annada Nadda",45qrltHRLdVl0KfBzHrpab,2
De Boca en Boca,Al Nadda El Nadda - Lebanon,5sm6Zl0mFL4rfOBJtO0tqL,3
"Faran Ensemble, Roy Smila, Gad Tidhar, Refael Ben-Zichry",Dune,28c8wmYz6cWGsSsnqZVDWq,18
"Ensemble Al-Ruzafa, Omar Sarmini, Hames Bitar",Longa Nahawand,0OyETj6W613ELHICeayncm,2
"Driss El Malouni, Montserrat Figueras, Traditional",Amazigh Lullaby,5kVwUR5PGD4ZvfsF4ZJT1T,10
"Jordi Savall, Traditional, Gursoy Din�er",Üsküdar,16i29VLcEeqW1CMNG1iEDR,26
Gagik Gasparyan,Danza Humorística,3S3WRZWVG6StHVZFEmlOLW,2
"Gian Battista Toderini, Laszlo Szakalos, Kecskes Ensemble, Bakfark Balint Lute Trio, Andras Kecskes",Concerto turco nominato 'izia samaisi,47p8UpOqnlYsfu1dntpB56,4
Hamlet Gonashvili,Tsintskaro,1B2wWhKhxEplDFhlmYXpPI,21
L�von Minassian,Hovern' engan,7dxk9QOTElJHXFGKMYPoIw,41
"Traditional, Hesp�rion XXI, David Mayroal, Ha�g Sarikouyoumdjian, Jordi Savall, Viva Biancaluna Biffi",Kani vur djan im,6fRbk0qf50HLP2qHndHuOi,17
Al Andaluz Project,Des Oge Mais Quer’ Eu Trobar - Yo Me Levantaria - Insiraf Btahyi Garibat El Hussein,5Z4eorTOUE1OKAuZzj7BTg,0
Alsarah & The Nubatones,Soukura (It's Late),57O1VZOKuoh4QfWJdZAX5L,19
Samira Said,A'lbal,6HwrjWRXfzSV4fKiaDOYU5,27
Samira Said,Sa'at Asara,4FRlCrAq3nk8hMiMDY517i,18
Samira Said,Law Kunt Mulki,5cxKrxSkXWA3aCh3Pa0xYP,0
Samira Said,كل دى اشاعات,3R4xbdepgKVuCTwcocUN16,2
Samira Said,إيه سهرنى,6oxJtF1kiuAWCEJnWbVc1h,1
Souad Massi,Ghir Enta,2JxqiIveQFclPq0DLafcp4,35
Fairuz,Kifak Inta,7JaX3X1cPBAGoTs4V1P4uy,48
Rachid Taha,Ya Rayah,57vLKSsU2gUirCUpUttlX2,42
Yemen Blues,Mountains Will Dance,5E0B6t3REo6OxsfUYM44oU,19
"Jalihah's Raks Sharki 6, Ihsan Al-Mounzer",Lebanese Bouquet,3jGc4pTC8dnRxEZ8m9aLDC,0
Amr Diab,نور العين,3ZTuYuaV1fhdNnuIBuzTYy,54
"Anonymous, Jeno Simon, Kecskes Ensemble, Bakfark Balint Lute Trio, Andras Kecskes","Solo for the ud, Arabic music from the Sultan's court",6IeGkYfFD4bZu2iSEVcCJS,5
"Hassan Falih, Alaa Majeed, Shaker Hassan, Ahmed Mukhtar",Sufi Moments,1LE0mmVghAEcobpVt7o4ea,4
"Dimitrie Cantemir, Kecskes Ensemble, Bakfark Balint Lute Trio, Andras Kecskes",Pesrev in Rast mode,3hHajB1dj3PHpu2qnFowsu,3
Babylone,Zina,7gepRwLr6JXAEz6vBuksSF,55
Gevorg Dabaghyan,"Havun, Havun",58R0l5CcukxyQKPx1Q4hv2,1
Gevorg Dabaghyan,Anush Garun,7MSthzvgh6YVUJZkE1jSmU,12
"Gevorg Dabaghyan, Komitas String Quartet",Water from the Mountain,6HfbGC8Z7RzK89VLOAv5gX,1
Gevorg Dabaghyan,Akhalqalaqi,58PTwyUvmjX1gVAdfrsLYP,2
"Gevorg Dabaghyan, Komitas String Quartet","Sona, My Love",2XH7uMZFo6E1qarMfApcQ0,0
Gevorg Dabaghyan,Shiraki,57cWcNdqb6D3TyGpUNPd1C,2
"Shoghaken Ensemble, Aleksan Harutyunyan, Gevorg Dabaghyan, Grigor Takushyan, Hasmik Harutyunyan, Kamo Khatchaturian, Karine Hovhannisyan, Levon Tevanyan, Vardan Baghdasaryan, Aram Nikoghosyan",Ashkharums akh chim kashi - I Will Not Be Sad in This World,2fADlfI42BYmG1wZWyPZmv,1
"Shoghaken Ensemble, Aleksan Harutyunyan, Gevorg Dabaghyan, Grigor Takushyan, Hasmik Harutyunyan, Kamo Khatchaturian, Karine Hovhannisyan, Levon Tevanyan, Vardan Baghdasaryan, Aram Nikoghosyan",Shushiki - Dance of Erzurum,35Rvr1gcBHDYJ2xbBNPOaB,1
"Shoghaken Ensemble, Aleksan Harutyunyan, Gevorg Dabaghyan, Grigor Takushyan, Hasmik Harutyunyan, Kamo Khatchaturian, Karine Hovhannisyan, Levon Tevanyan, Vardan Baghdasaryan, Aram Nikoghosyan",Modal Improvisation,6T1lJhsSlRtD6GFq3C3mZF,0
The Scorpios,Eujoaideen,5kFQG6TjztZKpfeiNEpH1a,20
