artists,name,id,popularity
"Julie Andrews, Irwin Kostal",Prelude and The Sound Of Music,2J4EBGx5Xju1PHv7sWy79X,42
"Evadne Baker, Annalee, Portia Nelson, Marni Nixon",Maria,1ZPLxhs1oTNnaeTsqxpHsM,42
Julie Andrews,I Have Confidence,4Gh6PNhNuyYOSkizgNxsCp,41
"Charmian Carr, Dan Truhitte",Sixteen Going On Seventeen,0aIisBBAjHJTXjrCD6nuWC,45
Julie Andrews,My Favorite Things,3XuynAYyLtvJrI2NvVXu6Z,52
"Julie Andrews, Charmian Carr, Heather Menzies, Nicholas Hammond, Duane Chase, Angela Cartwright, Debbie Turner, Kym Karath",Do-Re-Mi,7IqgWCJ1QC7Ldif9dy8fds,53
Idina Menzel,"Let It Go - From ""Frozen""/Soundtrack Version",0qcr5FMsEO85NAQjrlDRKo,75
"Kristen Bell, Santino Fontana","Love Is an Open Door - From ""Frozen""/Soundtrack Version",3IPnBzGRMg6BfViFxxa0Gq,71
"Kristen Bell, Agatha Lee Monn, Katie Lopez","Do You Want to Build a Snowman? - From ""Frozen""/Soundtrack Version",2yi7HZrBOC4bMUSTcs4VK6,70
"Kristen Bell, Idina Menzel","For the First Time in Forever - From ""Frozen""/Soundtrack Version",70b5Sq3ePOu3Gqg0hjlOtR,67
Jonathan Groff,"Reindeer(s) Are Better Than People - From ""Frozen"" / Soundtrack Version",4C463MZrXGxq3t7A3wlGuV,62
Christophe Beck,"Coronation Day - From ""Frozen""/Score",7hcynghaJVODd7hSC2XbJc,47
"Hugh Jackman, Russell Crowe, Convicts",Look Down,590iVyz1pnmaIO4MwJ9Kba,46
Colm Wilkinson,The Bishop,7imeq3a7WVP7K5MGXX8E6W,41
Hugh Jackman,Valjean's Soliloquy,40TItYzvrpWKvFocs6BoSt,42
"Hugh Jackman, Anne Hathaway, The Factory Girls, Les Misérables Cast",At The End Of The Day,1kWxETqMxvlzbQk1kbPdi3,48
"Anne Hathaway, Les Misérables Cast",The Docks (Lovely Ladies),0qtgSBmWmiteW6Lct9bdUp,43
Anne Hathaway,"I Dreamed A Dream - From ""Les MisÃ©rables""",2rPbBONzBW14kNvVF9Qy7E,53
Hugh Jackman,"Who Am I? - From ""Les Miserables''",2DBxiSaoia7lCQGdcGdRCk,43
"Hugh Jackman, Russell Crowe",The Confrontation,475S27yI5vt0UoiQJjpvSX,44
Isabelle Allen,Castle On A Cloud,631kyE9HXj54yvg3mBrM38,44
"Sacha Baron Cohen, Helena Bonham Carter, Les Misérables Cast",Master Of The House,2mWmhLvwRqhoKgdXpqJVKm,46
"Isabelle Allen, Hugh Jackman, Helena Bonham Carter, Sasha Baron Cohen",The Bargain,32fzbjhP5qyp2EWcLELdnB,39
Hugh Jackman,Suddenly,4bYpVUNbcYLg44FMHvy3zs,40
"Eddie Redmayne, Aaron Tveit, Students",ABC CafÃ© / Red & Black,708bILUWqNTwAHppLqfD6R,46
"Amanda Seyfried, Eddie Redmayne, Samantha Barks, Hugh Jackman",In My Life,2RKd9eSfZchlXdHXtkWd73,44
"Eddie Redmayne, Amanda Seyfried, Samantha Barks",A Heart Full Of Love,5fiQw6cyrsRqU93AGCZ7um,44
Samantha Barks,On My Own,1VVyW3Dl9LaCAcPIhygo9A,52
Les Misérables Cast,One Day More,4hIPVoHpk0pICSvbfl8hb7,54
"Aaron Tveit, Eddie Redmayne, Students, Les Misérables Cast",Do You Hear The People Sing?,03m03OVQGPuzt8Rw2r0a7t,56
"Leonard Bernstein, Johnny Green, Jim Bryant, West Side Story Orchestra",West Side Story: Act I: Maria,4PhC8QIdq2LcGm6KpXFaVi,44
"Leonard Bernstein, Johnny Green, Suzie Kaye, West Side Story Orchestra, Betty Wand, George Chakiris",West Side Story: Act I: America,1RZ6jzlPeEaDeKYe7IJ792,46
"Leonard Bernstein, Johnny Green, Yvonne Othon, Suzie Kaye, Joanne Miya, Marni Nixon, West Side Story Orchestra",West Side Story: Act II: I Feel Pretty,4JCBnb6zviWQjtlhxUgtis,40
"André Rieu, Johann Strauss Orchestra",And The Waltz Goes On,5mGJrlbuQ4BiDB4TUO7RIF,1
M. Pokora,"Le jour qui se rÃªve - Extrait de ""Robin des Bois, le Spectacle"" [Live 2014]",7xz205LvYcco5TjBlPl9vF,18
