artists,name,id,popularity
Pink Floyd,Fearless - 2011 Remastered Version,5WEOx4ZXcfX3wvbfxsAoDO,56
Maverick Sabre,Into Nirvana,1De7ddr6NfqajOQLu5uwKG,57
Ivy Sole,Dream Girl,2RtNAFhj8eeu8ng4IJBlM5,52
"Pan Amsterdam, thatmanmonkz",Landlord Elijah,7tJ41ZicPObFxy1UJyt7FA,0
girl in red,i wanna be your girlfriend,3h3pOvw6hjOvZxRUseB7h9,82
Rolling Blackouts Coastal Fever,French Press,3xuTjTxGkMVtxnHCAntxTs,0
Lynyrd Skynyrd,Simple Man,6F6DxQ3XjToEHX1e2KKSbg,61
Pink Floyd,Wish You Were Here,6iMjntVYkchLBJcqsiSNYZ,45
Caetano Veloso,Nine Out Of Ten,4XaT95aeZfwkH3wuhbeNH1,36
Caetano Veloso,You Don't Know Me,5SGGqrMHP2ZJ1xmaSFzUE0,40
Current Joys,Let Me Be,7DIiWCUtzopx3SVjWy9Sae,19
Current Joys,Drive,4U0jbpz7nKaV961H4IO7aC,18
Current Joys,Weird Science (Don't Leave My Arms),6pgDGpVbuEugw7LHURnciw,27
Current Joys,New Flesh,6TEiFwaiHERpdfG6WnGed1,54
Febueder,Morning Yawn,1Sz1NdKzj6i9zFXRCK0tEh,41
Febueder,Shapeshifter,5LAjxUJXgiEO4Ljgz0naLD,13
José González,Every Age,1fCqxUvXsF3RUSGDQbZs7Q,33
José González,What Will - With the Brite Lites,5e2khNLMrSdRQFJlHpGb4Z,17
Pinback,Loro,5QvreZXI9NSx1A7NXLjuxt,37
Pinback,Penelope,6VAdhSylvAQMdVahyyCVMr,0
Pinback,Kylie,1QFwqgZ76HFYZOIUAYlShY,0
Lenine,Hoje Eu Quero Sair SÃ³,3MlTmlmooUijgyJJswZfm1,53
This Is The Kit,Earthquake,7FLc2bgmWWtviB0cakkaCO,35
The Drums,Days,0z5Qmq1mDE42rabLUQtlST,0
The Brian Jonestown Massacre,Anenome,5JkjdRH5ACpDbphRmWR8HZ,0
Blind Faith,Can't Find My Way Home,7t20AEMjEBgO2V4VCt2VRQ,0
CCFX,The One to Wait,3MPFzBWdqwaAeCSQpA7Ift,4
Mac DeMarco,Another One,1ZnIS5sO40hECBKRH8tK7D,43
Frankie Cosmos,Buses Splash With Rain,0vEKnUAsPfA8ykKa7zvgiD,0
Ultimate Painting,Ultimate Painting,0vIwhPGBrTcrYM1f7u9grh,3
Francis and the Lights,Etc,4JhfFW29hVNmJZctt6wEAs,0
The Chills,Pink Frost,70edK8hEu22TwodGaahjdO,47
BRONCHO,Class Historian,73i6MgP5CKhhnZ69Go6u2X,53
The Horrors,So Now You Know,2gyNT3Mz29tF7Ha6lnipjD,0
Kesme_eker,GerÃ§ekten Ã–zleyince,45rJaE75GmomUFUmtcP5jc,24
Cate Le Bon,Home To You,38wakZ93YNvmqkllWLfcYJ,43
Steve Gunn,Vagabond,3VM6iAbIufq8F3b73OTMiJ,0
Ought,These 3 Things,68G2Is16gx5pADNa4YKUno,0
Amen Dunes,Believe,3bVJSd4lvbFzQQrS2WvWJF,29
The Edge Of Daybreak,Our Love,0jBhrh3WiTQyRuUb1K9KDl,0
Nautic,Lay Back,4rciqbhkJo1XPMlSAH1ytd,0
Guano Apes,Pretty in Scarlet,7ybMhIQ1jw3L0Z8EPgLupc,26
Ultimate Painting,Kodiak,581zFFUoCKjfpTe9uWg4Yc,1
The Staple Singers,Slippery People,2dB0ZG7kQDgeQNGQk2Wdxa,40
Alpha & the Van,Propeller,56Dx12sUgTapjF6OVUROA2,1
