artists,name,id,popularity
Bilal,Soul Sista,7ez1bkgnF7oaFYw6jRq8y4,20
"Robert Glasper, Lupe Fiasco, Bilal",Always Shine,4wQFB68968Q08qP3iy5DMW,37
"Beyoncé, Bilal",Everything I Do,5tVVYYNANSqy9FYwYDuaAD,26
D'Angelo,Brown Sugar,3tyUh8UpK0PVu00AjbP1UG,0
Ms. Lauryn Hill,Ex-Factor,2XCTU3DJ9W6glWSkM2uQTS,0
Alabama Shakes,Sound & Color,65wx71brAmEQz66GXXF8gI,0
D'Angelo,Untitled (How Does It Feel),69m2f2jbcsxvwbA0RlspCU,0
Floetry,Say Yes,3Noa5kppo2crIEMpwOmsHf,0
Akua Naru,Poetry: How Does It Feel?,6GDhzVkBzwCMpZLkDskWwR,0
Erykah Badu,On & On,3a6YKw9xPXgqzwtOKnsPCQ,0
Erykah Badu,The Healer,0O27ZJm3Tk36MVrrJUccES,0
Erykah Badu,Honey,418jgbEz7ltzIyR4EL00U2,0
Erykah Badu,I Want You,5ueSNvXdxAqPj3YCcK3Piw,0
Erykah Badu,Didn't Cha Know,5uK7sOLgAnysmdwPs4NZhO,0
"Erykah Badu, Roy Ayers",Cleva,5I6wVSOLrVSfWxlGGgpUoB,0
"Erykah Badu, Roy Ayres",Bag Lady,4eboQESZB6YGrnsEgYo6eU,0
Erykah Badu,Rim Shot - Intro,4fJXmct2hSA8oLhXTOo1h2,0
Erykah Badu,Other Side Of The Game,78rsWsJItByfVLtAMinuiP,0
Erykah Badu,Sometimes - Mix #9,0sN9ZznQ8QAzVEXufWtl7U,0
Erykah Badu,Next Lifetime,3tH16kQXSDJpawV0HvCj2E,0
Erykah Badu,Certainly,6ouRLaagv23uWDK76HN9u2,0
Erykah Badu,4 Leaf Clover,3ipOtmGGnOU05uKDI8nYwR,0
Jill Scott,Golden - Remastered,3x9r5R43GfefRlYFltxvyG,0
Jill Scott,Hate on Me - Remastered,72LLZUURCtPiF5z251y5l1,0
Jill Scott,A Long Walk - Remastered,0jRr413bCkZhxc7Mul34Ik,0
Jill Scott,Gettin' in the Way - Remastered,7KQJFW6TXKX12TDWwVWsW4,0
India.Arie,Video,5ewa79Xg31HDefmPUpZX0Y,0
Jaguar Wright,The What If's,4woeSJBg9F5mRcA986Gkos,0
Maxwell,Pretty Wings - uncut,22NLm3IIR9NLG0cUYtmHMW,63
