artists,name,id,popularity
Big Freedia,Explode,7CMfPwodyj6K2Envg1qxWa,27
Scissor Sisters,Take Your Mama,4Sfh35NL3BWOyIpB4toKgS,51
RuPaul,Cover Girl,7jman10UPhzhtOOqZLjSsh,56
Scissor Sisters,Inevitable,0CFQim3nyMw4LHTCFP5E0D,25
RuPaul,Lipsync for Your Life,5wHz7shzlOILyHLue0lBYl,0
Stephen Trask,Sugar Daddy,7I9bICTSMyX2abCm9BzKkK,22
RuPaul,"Looking Good, Feeling Gorgeous",14AsAchc7p5nJYiT077giP,28
Annikafiore,Forbidden Love,363uFu689TldtXTpQVbVuM,0
Scissor Sisters,Laura,5rfJ9D4v88SMQE5yvSvbK3,0
Ultra Naté,Free - Mood II Swing Radio Edit,0dc6CJ6BsiKxyPvW4yABLo,61
Scissor Sisters,Filthy/Gorgeous,1DEgRQfR4u5qHaW12ARN3F,0
Madonna,Forbidden Love,2DuaKXVHCHSSTTeOnYSMG9,49
Cher,Love One Another,3LFyOcYUtBOYE4QtkfRODn,22
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Mary Lambert",Same Love (feat. Mary Lambert),01uqI4H13Gsd8Lyl1EYd8H,66
Scissor Sisters,Let's Have A Kiki,154Ada4WZXskIMnsKiy26u,44
Stephen Trask,Tear Me Down,21l0IzdoW75sT5TewUT22V,22
Scissor Sisters,Tits On The Radio,6xH3MYx0luT4NDpMG69XWw,0
"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),3bidbhpOYeV4knp8AIu8Xn,85
Scissor Sisters,Only The Horses,4flzlqrFIcBkAAqBOfjuEd,22
Black Eyed Peas,Where Is The Love?,3CNqo3gYrfexdrtjFmC9he,71
Scissor Sisters,Baby Come Home,5ESY2QRuhgSmC4ZAvf0z2R,37
Scissor Sisters,Lights,6V1t2SKuMOlw9G7yaybG8d,14
Stephen Trask,The Origin Of Love,4AQmxxQQSfisCPytqaGbl9,35
Scissor Sisters,Comfortably Numb,7voM3X61FRQ6HLLrATqQF4,0
Electric Six,Danger! High Voltage (Soulchild Radio Mix),1vRBB8zppBMnZawmRpRffx,0
Scissor Sisters,Any Which Way,4RuegJTKBhOQ2kTTTbiyLm,0
Hedwig And The Angry Inch - Original Broadway Cast,Angry Inch,1W4iKuv3EdbNWggkFfc0aC,24
Secondcity,I Wanna Feel,5nrdOK0i7daIsDAt4zRbHM,52
Moko,Your Love,1d5D40lN85JmeXMdswpx1Z,17
Electric Six,Dance Commander,7LvIeOUU51fKs4i8VYdEkf,0
Peaches,Boys Wanna Be Her,46sqkKk663MiT1u0WHLQKF,0
"John Lennon, The Plastic Ono Band",Power To The People - Remastered 2010,1XT3v8CIGQ1pbbSOhv8sS4,0
Pharrell Williams,Happy,6NPVjNh8Jhru9xOmyQigds,1
Beyoncé,Run the World (Girls),1uXbwHHfgsXcUKfSZw5ZJ0,74
"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers),69kOkLUCkxIZYexIgSG8rq,75
Israel Kamakawiwo'ole,Somewhere Over The Rainbow_What A Wonderful World,25U7raB3ZSszayTYClh4hF,71
Pat Benatar,Love Is A Battlefield,0viZ7D81W8pD65TkzaFkXT,60
Elton John,I'm Still Standing,0lzpfrTARexLFXEACKSXTh,0
Electric Six,Gay Bar,1bs2kmXeGoo8HEQaNDL1sT,0
"Maximum Balloon, Katrina Ford",Young Love,2Mo7vFmGzqGHXpwh3aEveh,0
Tim Hecker,Rainbow Blood,0yMi0l45zu3z09invky1Ie,32
Hailee Steinfeld,Love Myself,52izjvF7wwveRG1rDJsGWe,0
Alessia Cara,Here,2jplimH0b7Abf5LQSPx27A,0
JR JR,Gone,0BAbtnMn0zW7ODOxq25VAm,33
Low,Lies,1h16qDsxPeomBKU6iytgmk,0
Oh Wonder,Drive,2Kp3prE7jSyozQ2kT3Hiba,0
Kendra Morris,Banshee,5A245vJYcNlMxp8V7hr3nq,0
Broken Back,Happiest Man on Earth - Radio Edit,6rQi85JWh2LcMLwc4SFZOp,45
Kazy Lambist,Doing Yoga (Original Mix),0gKR9sAEj2QUJTqnZ072hl,0
The Weeknd,Can't Feel My Face,6RsWqX8zABZLhZydXxEFOm,0
Will Smith,Miami,6e8Ou0wiqAzIpWb2eSxll8,72
Garbage,Queer,5DNU000fy3AI72ORDCmzlt,0
One Direction,Drag Me Down,70OTIpw8x8UXUsuCHW9i1i,1
Ella Eyre,Together,5t90fimVy11Gg4lYNbMB2r,0
Moby,Natural Blues,5MIOomJuCJkfuf6mrHJu9H,51
