artists,name,id,popularity
Bob Marley & The Wailers,Jamming,0fF0HtZGSXZgGrC6b7Pq4I,8
Black Uhuru,Guess Who's Coming To Dinner,3wa5sPSMHMsBX8s4RYIA9H,42
Clinton Fearon,Jah Know His People,40UKRC2BtRJxHvjgJjs0h1,15
Black Uhuru,Shine Eye Gal,28xLykujcyIxFEGkFyNbvQ,1
"Don Carlos, Gold",Young Girl,69CBoif4sZXmC40b4GNjta,16
Black Uhuru,Puff She Puff,5gzxWOgAQUmNOUa1TPz17y,0
"Black Uhuru, Sly & Robbie",Sinsemilla,0Qb8jMMKrJiq21YnT6EfeZ,32
Black Uhuru,Sponji Reggae,2x8IffELhKKXgiNLNY3q8y,0
Bob Marley & The Wailers,Is This Love,58qEQujDJy5ma0cWRnB6dh,6
"Black Uhuru, Sly & Robbie",Happiness,0tKt58i7jkkIVdyjMpFMgP,6
Black Uhuru,Utterance,65T6ZAG3r9nYkxclBDXRWe,0
Bob Marley & The Wailers,Natural Mystic,1X8Ln9FNc27kSRFjFcXLU7,0
Black Uhuru,Youth Of Eglington,4A85dJfc9byVEsU6ByWiJH,0
Inner Circle,Sweat (A La La La La Long),1SssFw74DdHVjRa6ADggdD,69
Black Uhuru,Darkness,5qWtWTXu81IbSKR3r5ZehY,0
Black Uhuru,What Is Life,4u7m20M5Luzef19OrqnaIW,0
Dennis Brown,Revolution,1nsEptcDye2MUjMJQ1N5Rh,51
Black Uhuru,I Love King Selassie,5HeNJGYzCjL8xwXWc97ESd,6
Black Uhuru,Bull In The Pen,4q6ho8JfAhLctBex5X7iVC,0
Yellowman,Zungguzungguguzungguzeng,4czopM9AcLjrH4IunzRoBg,53
"Black Uhuru, Sly & Robbie",Push Push,4VEz3jgmbayy0TlDd39GsB,4
Black Uhuru,Elements,0tdo8jOrTYlnacHcymph57,5
Bob Marley & The Wailers,Sun Is Shining,1YksP2PZxd9364agEHV30b,3
UB40,One In Ten,5HOTffpjAlh4grqoFhPNXv,17
Alborosie,One Sound - feat. Gramps Morgan,1LOS5leaF6Q5zBfkTEdnCi,0
