artists,name,id,popularity
AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,85
AC/DC,Shoot to Thrill,0C80GCp0mMuBzLf3EAXqxv,74
AC/DC,If You Want Blood (You've Got It),1V6kRlJnTC4W319N0BvJag,53
Triumph,Hold On,0dkhSsQ0NkaQTafNNifPVG,41
W.A.S.P.,Wild Child,3iC3Numiy9P3AkF7iioKmx,62
AC/DC,T.N.T.,7LRMbd3LEoV5wZJvXT1Lwb,79
Aerosmith,Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,74
Pearl Jam,Even Flow,6QewNVIDKdSl8Y3ycuHIei,77
Pearl Jam,Jeremy,62nQ8UZVqR2RMvkJHkcO2o,73
Pearl Jam,Alive,1L94M3KIu7QluZe63g64rv,78
Pearl Jam,Dissident (Remastered),1NnUbdEvJigY0ARnoOgDrv,56
Pearl Jam,Red Mosquito,53W0AL4qdOb5IpCxJM4AdE,41
Guns N' Roses,Welcome To The Jungle,0bVtevEgtDIeRjCJbK3Lmv,79
AC/DC,Thunderstruck,57bgtoPSgt236HzfBOd8kj,84
