artists,name,id,popularity
KC & The Sunshine Band,Get Down Tonight,7dNUfw7xbVXz4wyQTsMYmt,47
Michael Jackson,Don't Stop 'Til You Get Enough,46eu3SBuFCXWsPT39Yg3tJ,77
Michael Jackson,Wanna Be Startin' Somethin',4VpjW9LiXpwuPPVyfSbRtd,49
The Jacksons,Blame It on the Boogie,3qI94hINNNeb4S7xQi18lS,73
"Earth, Wind & Fire, The Emotions",Boogie Wonderland,6ztstiyZL6FXzh4aG46ZPD,77
Kool & The Gang,Celebration,3K7Q9PHUWPTaknlbFPThn2,75
KC & The Sunshine Band,That's the Way I Like It,6q4WNR2hLjy57WkJ6kdUci,0
Jamiroquai,Cosmic Girl - Remastered,7p0zNeEa3vNTi70qVMbg40,0
Will Smith,Gettin' Jiggy Wit It,0weAUscowxeqDtpCgtbpgp,73
Diana Ross,Upside Down,7HUlgUt9vSXDAqkCXaY94I,0
James Brown,Get Up Offa That Thing,0nyrltZrQGAJMBZc1bYvuQ,19
Rick Astley,Never Gonna Give You Up,4uLU6hMCjMI75M1A2tKUQC,7
"Earth, Wind & Fire",September,7Cuk8jsPPoNYQWXK9XRFvG,70
"Earth, Wind & Fire",Shining Star,5MYWfFDG0smygK5GTK2R1u,33
Will Smith,Miami,6e8Ou0wiqAzIpWb2eSxll8,72
JtotheC,You Gotta Believe In You (Radio Edit),1Xb7BCU2N4RGDaxPdgJmz6,0
Fat Larry's Band,Act Like You Know,1AOacbO5iSMxrGMihq9QDA,57
"Los Dinamicos Exciters, Ralph Weeks",Let Me Do My Thing,03sNZYTDJMK6LatY5rC6RL,0
George Benson,Give Me the Night,5gaUkg5JNk8c4mr2jnpX8H,61
"Pitbull, John Ryan",Fireball (feat. John Ryan),49eplIHvgCLY8HAgcaWrUb,66
Nao,Inhale Exhale,2fv00qmva1kpCctrKgoIer,46
Nao,Get to Know Ya,7coWZzFEyhoZTcMfZixvwB,40
Scissor Sisters,Let's Have A Kiki,4Q6K6M0HSiRboY3C97AxD4,54
Scissor Sisters,Filthy/Gorgeous,4UYlR92ZsEQQUO1TVmrzQH,38
Faithless,"Miss U Less, See U More - Single Mix",2X1zsG1osgirE9cpP2U0f7,31
Faithless,Mass Destruction - Single Version,18XnvWLy7QFko3MvJnuX5p,36
"Earth, Wind & Fire",Sing a Song,3Q3Y74YBnr1U6VDz1ilrmx,35
Commodores,Brick House,5VJjhHyG8NZ5xdgG6uTb3P,67
Lenny Kravitz,Low - Edit,2jmPAcUIEMRjhdssVy79Vu,55
Modjo,Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,78
