artists,name,id,popularity
Slowdive,When the Sun Hits,0oxYB9GoOIDrdzniNdKC44,68
Slowdive,Alison,33HRECrmuelZxOpid6XTNX,64
Slowdive,Slomo,6smJCC2En1iEuN3b9ZQnLX,7
Slowdive,Sugar for the Pill,0GN3fXUdsTHeUg50xfDS0V,13
Slowdive,Don't Know Why,0UjQAt7u0DvcU4dnbKtB9k,2
Slowdive,Machine Gun,3Md1APzDGyfBBNQ2l7O5nj,45
Slowdive,Melon Yellow,6HDbazzz9BHKufmSfuLTVE,40
Slowdive,Dagger,5p0ZJLF1ZmL2WNJ2ky8VVb,42
Slowdive,Blue Skied An' Clear,38ZKbVHXf2HcJ0KyIc92FW,41
Slowdive,Celia's Dream,58LwagSpbHNBrIr6kyb0cD,46
Cocteau Twins,Cherry-coloured Funk,6sVQNUvcVFTXvlk3ec0ngd,0
The Brian Jonestown Massacre,Bout des doigts,5RQ2HMjTOBJOWK9Me6cpsy,45
Widowspeak,When I Tried,7M439GhksUYrts5IEScnDq,0
Ringo Deathstarr,Stare at the Sun,5pvmhSKAEGovYtUQW8xqJp,42
Pinkshinyultrablast,Dance AM,6MJh7i7sDHNcjXoW0XWP1s,36
Windy & Carl,Undercurrent,6Qyy9fqDBBZyl90snerjl0,38
Lush,Nothing Natural,6zrL6etENCa2ZEwnPcxGkb,0
my bloody valentine,Swallow (EP Version),4lYac7OxuhaKYV75XDkRBS,35
DIIV,Taker,0ZdSPHnoFUAE1tck8oxSyJ,1
Swirlies,Pancake,00YCRrySf0dJ6nRCKYSAkA,46
Airiel,In Your Room,7l5XWtUfIclO2xCTFvts8V,50
The Telescopes,The Perfect Needle,2ZyKEtawyPdYXQG0U2SAYy,0
my bloody valentine,When You Sleep,3HfEgAaf0koxBpBB8NvGda,67
Jay Som,Superbike,4kK7bQcFQKldges2b6WXrV,0
Pale Saints,Ordeal,6I1euZN8qsmXYJq2nDH8EN,0
Mild Orange,One,5tC9wEYsOylv7aXeXCRaL3,45
Andy Bell,Love Comes In Waves,2boEyOYahQ5kYuAQnr05B9,32
Song Sung,Telling Tales,3AfZWVkAf2ipi68BMVvfwq,28
The Meeting Places,Now I Know You Could Never Be The One,5ilQ6xjKxxGDTrQQNDp6Tw,41
His Name Is Alive,Lip,26eNgATTW7K0N1QjWHnyjf,0
The Daysleepers,Flood in Heaven,2KqKu9seZepmo9uKo6VyD8,38
Life On Venus,May,3hVlV66Z3PfvXwIYOTeZdi,36
Suburban Living,Lovely Times,4YGPKyLmAkUEBNIcEWnAMV,0
The Smashing Pumpkins,Rocket - Remastered,1nbXNrayQOc9UGVEudhlaT,46
Tamaryn,Love Fade,24ZsdPJj8uwhCxo4uanFpG,43
Tamaryn,Choirs of Winter,5mQINuog4pSXa57jg2XpBy,16
Tamaryn,Coral Flower,1nOGFSMk5mZRAl8vdj5UkA,14
The Brian Jonestown Massacre,Fingertips,1GIqbNdxW1PO9K1CRPWGkK,31
