artists,name,id,popularity
Pops Staples,Somebody Was Watching,4SmbQt4iFY5GTJQXGxz5Is,41
Pops Staples,Sweet Home,1sMu9kSCF86QMnN5Vi9rx9,17
Pops Staples,No News Is Good News,3tAeT9ZT9AH8FkdMCZOF13,35
Pops Staples,Love On My Side,0A5fB9GE1x0x2FgpUE7CpV,18
Pops Staples,Friendship,364TGoiK2nPK0YYa4Z4p2Y,42
Pops Staples,Nobody's Fault But Mine,0RkUWMgEFIoAZfhhSF0FU0,18
Pops Staples,The Lady's Letter,3vIZWfnyNSyDxPuXCbTA7Q,18
Pops Staples,Better Home,3kVFIJLCo3hBh8TjT3ihGH,15
Pops Staples,Will The Circle Be Unbroken,4hxgQAZ0FiV8TeM7udXnvc,15
Pops Staples,Gotta Serve Somebody,5SYiwhJ9dWPQm32eq38f7U,19
The Isley Brothers,Fight the Power - Pt. 1 & 2,5q5qmdfdJAVOv1mbSk7xxN,41
The Temptations,Papa Was A Rollin' Stone,6eyxSV8hr1lu6Mdir5L3Lt,0
Martha Reeves & The Vandellas,Dancing In The Street - Single Version,32k7kVzz4SpmI7Q5xI856l,0
"Los Dinamicos Exciters, Ralph Weeks",Let Me Do My Thing,03sNZYTDJMK6LatY5rC6RL,0
Leon Bridges,Smooth Sailin',3JbqwFY5q0ORO3siv5zL3A,0
Leon Bridges,Coming Home,5EA06TsQmqmQXZiEhr1AaM,1
Rick James,Give It To Me Baby,3F6mZ61oIQJobfg2qRPK4j,0
"Leo Wright, Heinz fon Hermann, Milo Pavlovich, André Paquinet, Donna Hightower",This World Today Is A Mess - Live,0vMiYK0EdgjKoWWrTAT6kW,29
Kool & The Gang,Celebration - Single Version,6pc8xULSlsMdFB3OrqbvZ4,0
Peter Brown,Dance With Me,5ZAMHhZNCMVxx22KO3lPDH,0
"The Quantic Soul Orchestra, Alice Russell",Pushin' On - feat. Alice Russell,74x3GuHjsjduS3MrKbOCQR,0
Gil Scott-Heron & Brian Jackson,The Bottle,0lxDL4c5xQQJskltQigwl0,51
Cherry Poppin' Daddies,Zoot Suit Riot,1qmJbXpVLydNcN6VTR40GU,50
Gregory Porter,Musical Genocide,7i4UvxdEQpo6YDBMvcCf1N,0
James Brown,"Please, Please, Please",6V3yBUdLEvxnIdfIGQ7xrz,0
Sam & Dave,I Thank You,0LFgYTo2DDr91DHknCWHKZ,0
Michael Jackson,Don't Stop 'Til You Get Enough,46eu3SBuFCXWsPT39Yg3tJ,77
Grace Potter,Your Girl,2VAXoXkl4RYGH3Z8t3CqF1,0
Marvin Gaye,I Heard It Through The Grapevine,27m1soUndRthrAA1ediOXn,0
The Manhattan Transfer,Trickle Trickle,7uPmy50ymCJj531Iar843H,0
Deee-Lite,Groove Is in the Heart,2UVLuddklEVak5PXgC7baA,64
Dolly Parton,9 to 5,4w3tQBXhn5345eUXDGBWZG,78
The Meters,Look-Ka Py Py,5kRfHP0q0EbQTN2vjxzp40,21
