artists,name,id,popularity
Julie Byrne,Prism Song,2kSeNucLoBda0BBLYKurtp,37
Here We Go Magic,Ordinary Feeling,59vcWiqfSUSKUncnYF5szA,23
Blind Faith,Can't Find My Way Home,7t20AEMjEBgO2V4VCt2VRQ,7
Jye,Beachy Girl,0uHVEoupZxCpOlZSXwnXtw,42
Mac DeMarco,Still Beating,2N4idqj9TT3HnH2OFT9j0v,65
Sibylle Baier,Tonight,2JIVtls9Jf9nAosUbFzbyw,47
Jessica Pratt,Bushel Hyde,6oeRdUqXFfueEqxEKU4Mbd,41
The Brian Jonestown Massacre,Anenome,5JkjdRH5ACpDbphRmWR8HZ,0
Department Of Eagles,Phantom Other,5n1AWdIsKJSk3xPnDUj8wy,33
CCFX,The One to Wait,3MPFzBWdqwaAeCSQpA7Ift,48
Jefferson Airplane,Today,0yLfXULLuRtVj2L4DIrwO7,58
Songs: Ohia,Farewell Transmission - Demo,6VgdD7eGMBfaptRZNV3u8U,38
Art Feynman,Slow Down,3Bk7pEt6FUB7yvFazrULGh,40
Jessica Pratt,Moon Dude,0OmB7OmY3dYTcsDj2ygAF8,42
Ryan Adams,I See Monsters,2rqNcugUbd4YubfxO5AI0r,0
Chet Baker,Born To Be Blue,0e1JY7c9HY8zOt4VsDDlU4,0
Ryley Walker,The Roundabout,5kpEI9d5K0BqUEB3PFTCkJ,2
Wings,Wild Life - 1993 Digital Remaster,7sCuFRrNAFWBHzPYt0ucPX,0
Knox Fortune,Lil Thing,3q6ygCZID0OKj6MUxInB48,47
Amanaz,Sunday Morning,7rFu5IhLj50r2tNM2d2cat,46
The Milk,Deliver Me,6SiPsOVcHWMZtA8i3u8YP8,1
Jackson C. Frank,Milk And Honey,3fWYXNIizYdizSlHb00qkV,0
Black Sabbath,Planet Caravan,7wqF3BU0ykeKch6BcNqGiT,59
Gemma Luna,Heaven,6QQFhLouGckInBdxGGiyfF,0
Gemma Luna,Capsized,3r3EknmZiu674TN1lNarDn,0
Jessica Pratt,Night Faces,2l6XDDLJeb75safurlAsiK,32
This Is The Kit,Earthquake,7FLc2bgmWWtviB0cakkaCO,35
America,Ventura Highway,4IU1RL4BKvFyXtbTwaHAvW,68
Bill Callahan,Riding For The Feeling,2JiVVU7qv1YeD1yabpIyoX,46
Cornelia Murr,Different This Time,4WFWh42DCkPCjcjqITk54S,37
Jessica Pratt,"Back, Baby",3xFcvuUqsIppklKFWVo0w5,50
DOPE LEMON,Hey Little Baby,6duiLmlFXNe9Jdo6XmR98t,51
DOPE LEMON,Lonely Boys Paradise,6lDxOS92KGiXWkDD1dK5yd,48
Dean Blunt,100,6sc1bhC7ty4XWW6SI84rwg,45
Sinéad O'Connor,Last Day of Our Acquaintance,1SQJoU0N3uVIcoJy9PjJFB,51
