artists,name,id,popularity
Alekesam,All Is Forgiven,4FXnupsiLCUcGJnAaqcMwK,0
ESKA,Shades of Blue,32X6U6PA2usxv6IymbcYC9,0
Smoke Fairies,Strange Moon Rising,6YjNRfGl3orPoqyVAoM2lf,0
Nao,Inhale Exhale,2fv00qmva1kpCctrKgoIer,46
The White Lamp,Ride with You,0lNTM46HUY1whYMrRT1W5A,39
Patrice Rushen,Remind Me,5sKcSV3XQ5PEkCyyFYFOr0,0
Lenine,Hoje Eu Quero Sair Só,3MlTmlmooUijgyJJswZfm1,53
Julia Holter,Sea Calls Me Home,0Eg1fYRfNkdJoKlE6SKrjE,0
Current Joys,New Flesh,6TEiFwaiHERpdfG6WnGed1,54
Current Joys,Kids,6ixkZ2Q9gQeh52C6GxbETg,54
Youth Lagoon,July,5UqxQZatY5iVHKarrcRH2p,0
SOHN,The Wheel,5dJCYzLWPrhlPLhcsrkaBi,0
This Is The Kit,Earthquake,7FLc2bgmWWtviB0cakkaCO,35
Just Friends,Avalanche,54gZLHf4Sa624jRh1g1cAz,38
Tangled Eye,India Blues,1oaDuhMRtbcupgiJjbFKz4,0
Ainslie Wills,Drive,5j7ErFHXjTObJsjYsiudLn,0
Pumarosa,Priestess,4r7Pu54mOGqQGnf4r7OLax,0
The Drums,Days,0z5Qmq1mDE42rabLUQtlST,0
Josef Salvat,Every Night,1DLE6wUx2CZfdNLIw9pfnf,36
Damian Marley,Me Name Jr. Gong,08XeyHmQfT0zo4PguIL0L4,0
Moriarty,Long Is the Night,19Q6vDpkUQDQKjE3kzLKaR,27
Funeral Suits,All Those Friendly People,6uphlOdyLfhfe1ReSeiiz3,0
"Bonobo, Innov Gnawa",Bambro Koyo Ganda,5EGJ7e7frJjYja6H4afzoT,54
Mutual Benefit,Advanced Falconry,7KfYLvSzNAy7iJEisQS0Ma,0
The Brian Jonestown Massacre,Anenome,5JkjdRH5ACpDbphRmWR8HZ,0
Steeleye Span,Black Jack Davy,7LNunQ7ECJGmjJ76jrhRMr,5
Ane Brun,You Lit My Fire,60aBJoZ8U60cSkdksqr0ri,0
"Electric Wire Hustle, Scratch 22",Again (Scratch 22 Remix) - Mixed,71tytXfT56louM3NfXQAlg,0
"Clogs, Shara Worden",On the Edge (feat. Shara Worden),7bBZOz9keeEaLUUm7RL5Sq,4
Here We Go Magic,Ordinary Feeling,59vcWiqfSUSKUncnYF5szA,0
sir Was,In The Midst,7MhugzQRdMGruJ3IcbwYLe,0
Blind Faith,Can't Find My Way Home,7t20AEMjEBgO2V4VCt2VRQ,0
Metronomy,Everything Goes My Way,7r3oumwvHjsnh5IPtGrfNB,0
Jason Nolan,Late Night City Hawks,7dJWa2SkugsqBiZwHVJnds,0
ALA.NI,Roses & Wine,2VRut2wQ62K8ILqCDv1VpE,22
Kaleida,Think,20zcHCOQ5h5T6vmYVmFhYs,0
Metronomy,Month Of Sundays,0wHDtiSOrIdzzmOYx21c8m,40
"#1 Dads, Ainslie Wills",So Soldier,4qbWToFOFOmFrBVClOidKn,0
CCFX,The One to Wait,3MPFzBWdqwaAeCSQpA7Ift,4
Men I Trust,Tailwhip,2DoO0sn4SbUrz7Uay9ACTM,60
Her's,What Once Was,1XrSjpNe49IiygZfzb74pk,77
Yves Tumor,The Feeling When You Walk Away,2I3l32ErrSKFxVEfT7Fnuw,0
Adult Jazz,Hum,2KPS9Lqdm6KrRERhPOlaQB,0
Jens Lekman,A Postcard to Nina,0b1Cpu2geO7om7aW066a7K,1
Ryan Adams,Kindness,020g2Wlf8zc4YAnIeA9uUO,21
Mazzy Star,That Way Again,0TIQ60yLeT4khQVvzH673I,39
Beastie Boys,Something's Got To Give,52hyQiu5rDGfJe80NsQBwP,0
Jye,Beachy Girl,0uHVEoupZxCpOlZSXwnXtw,0
Mac DeMarco,Still Beating,2N4idqj9TT3HnH2OFT9j0v,19
"Joyce Wrice, Kay Franklin",Rocket Science,1OLeA7zpNAHkHOzBwjYfy7,0
MY BABY,Out On Gin,7HGxtJgtyp6nCdHOIFYco0,42
Crazy P,Something More,5gf6B78U9yT5inZsJidlVO,0
She Keeps Bees,Feather Lighter,02X2uUy2LHFv86wiNjSrox,0
Department Of Eagles,Phantom Other,5n1AWdIsKJSk3xPnDUj8wy,0
Blind Faith,Can't Find My Way Home,107K6xieSp2ihzoA2vTv2q,55
Jefferson Airplane,Today,0yLfXULLuRtVj2L4DIrwO7,59
