artists,name,id,popularity
Kedr Livanskiy,Разрушительный круг,0D097JckWpk2HUPtpGlI4A,42
Kedr Livanskiy,Ariadna (ариадна),5172jFseqcu7Cseyac3uwU,45
iamfearitself,revenge.,2niiTVdcLVg3K9mHv6b22X,4
"GRiZ, ProbCause, Jaye Prime",Smoke That (feat. ProbCause & Jaye Prime),3zgeIdqvFiQiBDVDYJqRxZ,52
Jamie Isaac,CNT U SEE,1vAYfntMwFvCrxfk464OfG,0
Jamie Isaac,Eyes Closed,3jQPh08raExctTKCFt2gb8,0
"KAYTRANADA, River Tiber",VIVID DREAMS,6ZBFJwlj6uJ1Th4m80KlSU,57
Little Dragon,Cat Rider,7m9yPkhvTfTlYEf0whUrNb,38
Edie Brickell & New Bohemians,What I Am,6hHUiDe461VUoTHnsplRYs,59
Edie Brickell & New Bohemians,Nothing,7F4z5twIWKXRFWOFxhUDSs,37
Alice Coltrane,Om Rama,3lOsEHHtcEgXRuPY9F7Vdw,21
"Bj�rk, Dobie",I Miss You (Dobie Rub Part One) - Sunshine Mix,1E9uIzPJCObTg9AhUvrGFj,38
"ShyGhy, Akacia",Walking Blind,6gzB695VQh5UtTTsA81016,20
Palmiyeler,Gün Doğmadan Gel,4MPgnvosw1B95W6fE7NJin,26
